epoch,N50_val_loss,N50_val_loss_min,N50_val_loss_max,N100_val_loss,N100_val_loss_min,N100_val_loss_max,N150_val_loss,N150_val_loss_min,N150_val_loss_max,N200_val_loss,N200_val_loss_min,N200_val_loss_max
51,,,,0.85612,0.8525,0.8619,0.85612,0.8525,0.8619,0.85612,0.8525,0.8619
52,,,,0.85308,0.847,0.861,0.85308,0.847,0.861,0.85308,0.847,0.861
53,,,,0.85478,0.8524,0.8578,0.85478,0.8524,0.8578,0.85478,0.8524,0.8578
54,,,,0.85824,0.8554,0.8607,0.85824,0.8554,0.8607,0.85824,0.8554,0.8607
55,,,,0.85902,0.8565,0.8622,0.85902,0.8565,0.8622,0.85902,0.8565,0.8622
56,,,,0.85774,0.8549,0.8634,0.85774,0.8549,0.8634,0.85774,0.8549,0.8634
57,,,,0.85566,0.8523,0.8589,0.85566,0.8523,0.8589,0.85566,0.8523,0.8589
58,,,,0.8566,0.8526,0.8612,0.8566,0.8526,0.8612,0.8566,0.8526,0.8612
59,,,,0.85744,0.8534,0.8625,0.85744,0.8534,0.8625,0.85744,0.8534,0.8625
60,,,,0.85948,0.8531,0.8619,0.85948,0.8531,0.8619,0.85948,0.8531,0.8619
61,,,,0.85494,0.8488,0.858,0.85494,0.8488,0.858,0.85494,0.8488,0.858
62,,,,0.85998,0.8544,0.8673,0.85998,0.8544,0.8673,0.85998,0.8544,0.8673
63,,,,0.8588,0.8544,0.8615,0.8588,0.8544,0.8615,0.8588,0.8544,0.8615
64,,,,0.85858,0.8546,0.8623,0.85858,0.8546,0.8623,0.85858,0.8546,0.8623
65,,,,0.85696,0.8486,0.8643,0.85696,0.8486,0.8643,0.85696,0.8486,0.8643
66,,,,0.85764,0.8527,0.8617,0.85764,0.8527,0.8617,0.85764,0.8527,0.8617
67,,,,0.86076,0.8583,0.864,0.86076,0.8583,0.864,0.86076,0.8583,0.864
68,,,,0.85972,0.8574,0.864,0.85972,0.8574,0.864,0.85972,0.8574,0.864
69,,,,0.8614,0.856,0.8651,0.8614,0.856,0.8651,0.8614,0.856,0.8651
70,,,,0.85794,0.8476,0.8664,0.85794,0.8476,0.8664,0.85794,0.8476,0.8664
71,,,,0.85972,0.8561,0.8647,0.85972,0.8561,0.8647,0.85972,0.8561,0.8647
72,,,,0.8617,0.8561,0.8653,0.8617,0.8561,0.8653,0.8617,0.8561,0.8653
73,,,,0.86128,0.8567,0.8665,0.86128,0.8567,0.8665,0.86128,0.8567,0.8665
74,,,,0.85878,0.8526,0.8668,0.85878,0.8526,0.8668,0.85878,0.8526,0.8668
75,,,,0.86394,0.8603,0.8666,0.86394,0.8603,0.8666,0.86394,0.8603,0.8666
76,,,,0.86068,0.8587,0.8644,0.86068,0.8587,0.8644,0.86068,0.8587,0.8644
77,,,,0.86052,0.8541,0.868,0.86052,0.8541,0.868,0.86052,0.8541,0.868
78,,,,0.86028,0.8569,0.8622,0.86028,0.8569,0.8622,0.86028,0.8569,0.8622
79,,,,0.86436,0.8601,0.8675,0.86436,0.8601,0.8675,0.86436,0.8601,0.8675
80,,,,0.863,0.8569,0.8669,0.863,0.8569,0.8669,0.863,0.8569,0.8669
81,,,,0.86188,0.856,0.8656,0.86188,0.856,0.8656,0.86188,0.856,0.8656
82,,,,0.86084,0.852,0.8667,0.86084,0.852,0.8667,0.86084,0.852,0.8667
83,,,,0.86188,0.8566,0.8648,0.86188,0.8566,0.8648,0.86188,0.8566,0.8648
84,,,,0.86312,0.8593,0.8698,0.86312,0.8593,0.8698,0.86312,0.8593,0.8698
85,,,,0.86394,0.8589,0.8677,0.86394,0.8589,0.8677,0.86394,0.8589,0.8677
86,,,,0.86436,0.855,0.8703,0.86436,0.855,0.8703,0.86436,0.855,0.8703
87,,,,0.86558,0.8612,0.8705,0.86558,0.8612,0.8705,0.86558,0.8612,0.8705
88,,,,0.8652,0.8606,0.8726,0.8652,0.8606,0.8726,0.8652,0.8606,0.8726
89,,,,0.86176,0.8524,0.8664,0.86176,0.8524,0.8664,0.86176,0.8524,0.8664
90,,,,0.8627,0.8605,0.8649,0.8627,0.8605,0.8649,0.8627,0.8605,0.8649
91,,,,0.86576,0.8644,0.8702,0.86576,0.8644,0.8702,0.86576,0.8644,0.8702
92,,,,0.86332,0.8599,0.8667,0.86332,0.8599,0.8667,0.86332,0.8599,0.8667
93,,,,0.86402,0.8588,0.8665,0.86402,0.8588,0.8665,0.86402,0.8588,0.8665
94,,,,0.86322,0.862,0.8649,0.86322,0.862,0.8649,0.86322,0.862,0.8649
95,,,,0.86126,0.8557,0.8673,0.86126,0.8557,0.8673,0.86126,0.8557,0.8673
96,,,,0.86432,0.8613,0.868,0.86432,0.8613,0.868,0.86432,0.8613,0.868
97,,,,0.86412,0.8629,0.8661,0.86412,0.8629,0.8661,0.86412,0.8629,0.8661
98,,,,0.86418,0.8594,0.869,0.86418,0.8594,0.869,0.86418,0.8594,0.869
99,,,,0.86444,0.8563,0.8711,0.86444,0.8563,0.8711,0.86444,0.8563,0.8711
100,,,,0.8645,0.8613,0.8681,0.8645,0.8613,0.8681,0.8645,0.8613,0.8681
101,,,,,,,0.86248,0.8557,0.8682,0.86248,0.8557,0.8682
102,,,,,,,0.86276,0.8588,0.8648,0.86276,0.8588,0.8648
103,,,,,,,0.86514,0.8634,0.8673,0.86514,0.8634,0.8673
104,,,,,,,0.86412,0.8597,0.8676,0.86412,0.8597,0.8676
105,,,,,,,0.86342,0.8599,0.8653,0.86342,0.8599,0.8653
106,,,,,,,0.86474,0.8612,0.8713,0.86474,0.8612,0.8713
107,,,,,,,0.86458,0.8609,0.8675,0.86458,0.8609,0.8675
108,,,,,,,0.86356,0.8566,0.8659,0.86356,0.8566,0.8659
109,,,,,,,0.86378,0.8594,0.8685,0.86378,0.8594,0.8685
110,,,,,,,0.8671,0.8634,0.869,0.8671,0.8634,0.869
111,,,,,,,0.86676,0.8637,0.8704,0.86676,0.8637,0.8704
112,,,,,,,0.8636,0.8598,0.867,0.8636,0.8598,0.867
113,,,,,,,0.86512,0.8629,0.8673,0.86512,0.8629,0.8673
114,,,,,,,0.86674,0.863,0.8683,0.86674,0.863,0.8683
115,,,,,,,0.86454,0.8593,0.8689,0.86454,0.8593,0.8689
116,,,,,,,0.86596,0.8646,0.8698,0.86596,0.8646,0.8698
117,,,,,,,0.86468,0.8555,0.8715,0.86468,0.8555,0.8715
118,,,,,,,0.86686,0.8645,0.8698,0.86686,0.8645,0.8698
119,,,,,,,0.86644,0.8623,0.8693,0.86644,0.8623,0.8693
120,,,,,,,0.86686,0.8648,0.8697,0.86686,0.8648,0.8697
121,,,,,,,0.86432,0.8562,0.8697,0.86432,0.8562,0.8697
122,,,,,,,0.86672,0.8626,0.8715,0.86672,0.8626,0.8715
123,,,,,,,0.86624,0.8625,0.8696,0.86624,0.8625,0.8696
124,,,,,,,0.86788,0.8654,0.8734,0.86788,0.8654,0.8734
125,,,,,,,0.86536,0.8612,0.8669,0.86536,0.8612,0.8669
126,,,,,,,0.86518,0.8586,0.8711,0.86518,0.8586,0.8711
127,,,,,,,0.86594,0.8635,0.8687,0.86594,0.8635,0.8687
128,,,,,,,0.866,0.8589,0.8699,0.866,0.8589,0.8699
129,,,,,,,0.86726,0.8642,0.8689,0.86726,0.8642,0.8689
130,,,,,,,0.8662,0.8604,0.8712,0.8662,0.8604,0.8712
131,,,,,,,0.86684,0.8657,0.8687,0.86684,0.8657,0.8687
132,,,,,,,0.86658,0.8614,0.8735,0.86658,0.8614,0.8735
133,,,,,,,0.8654,0.857,0.8725,0.8654,0.857,0.8725
134,,,,,,,0.8666,0.859,0.877,0.8666,0.859,0.877
135,,,,,,,0.86756,0.8646,0.8713,0.86756,0.8646,0.8713
136,,,,,,,0.86602,0.8608,0.8728,0.86602,0.8608,0.8728
137,,,,,,,0.8684,0.8666,0.8707,0.8684,0.8666,0.8707
138,,,,,,,0.86724,0.8623,0.8709,0.86724,0.8623,0.8709
139,,,,,,,0.86754,0.8651,0.8738,0.86754,0.8651,0.8738
140,,,,,,,0.86796,0.8618,0.8763,0.86796,0.8618,0.8763
141,,,,,,,0.86608,0.8601,0.8717,0.86608,0.8601,0.8717
142,,,,,,,0.86822,0.8605,0.8733,0.86822,0.8605,0.8733
143,,,,,,,0.86604,0.8616,0.8709,0.86604,0.8616,0.8709
144,,,,,,,0.86662,0.8599,0.8738,0.86662,0.8599,0.8738
145,,,,,,,0.8666,0.8629,0.8716,0.8666,0.8629,0.8716
146,,,,,,,0.86752,0.8631,0.8705,0.86752,0.8631,0.8705
147,,,,,,,0.86764,0.8603,0.876,0.86764,0.8603,0.876
148,,,,,,,0.869,0.8652,0.8713,0.869,0.8652,0.8713
149,,,,,,,0.86974,0.8655,0.8777,0.86974,0.8655,0.8777
150,,,,,,,0.86626,0.8648,0.868,0.86626,0.8648,0.868
151,,,,,,,,,,0.86844,0.8645,0.8729
152,,,,,,,,,,0.86864,0.8621,0.8733
153,,,,,,,,,,0.8667,0.8586,0.8721
154,,,,,,,,,,0.86932,0.8646,0.8747
155,,,,,,,,,,0.86674,0.8606,0.8731
156,,,,,,,,,,0.867,0.8577,0.8709
157,,,,,,,,,,0.86852,0.8633,0.872
158,,,,,,,,,,0.86976,0.8642,0.8732
159,,,,,,,,,,0.86748,0.8619,0.8737
160,,,,,,,,,,0.86672,0.8623,0.8705
161,,,,,,,,,,0.8685,0.8623,0.8744
162,,,,,,,,,,0.86706,0.8649,0.8684
163,,,,,,,,,,0.86912,0.8655,0.874
164,,,,,,,,,,0.86754,0.8652,0.8727
165,,,,,,,,,,0.86904,0.8653,0.8721
166,,,,,,,,,,0.86966,0.8632,0.8727
167,,,,,,,,,,0.86592,0.8627,0.8699
168,,,,,,,,,,0.87012,0.866,0.8738
169,,,,,,,,,,0.8707,0.8644,0.8748
170,,,,,,,,,,0.87022,0.8663,0.8755
171,,,,,,,,,,0.8681,0.8646,0.8714
172,,,,,,,,,,0.8701,0.8662,0.8753
173,,,,,,,,,,0.87004,0.8651,0.8722
174,,,,,,,,,,0.8688,0.8633,0.8716
175,,,,,,,,,,0.8685,0.8635,0.8732
176,,,,,,,,,,0.86842,0.8664,0.8703
