epoch,H50_val_loss,H50_val_loss_min,H50_val_loss_max,H100_val_loss,H100_val_loss_min,H100_val_loss_max,H150_val_loss,H150_val_loss_min,H150_val_loss_max,H200_val_loss,H200_val_loss_min,H200_val_loss_max
1,0.00248148026973164,0.000948884997342248,0.0062046687817201,0.00248148026973164,0.000948884997342248,0.0062046687817201,0.00248148026973164,0.000948884997342248,0.0062046687817201,0.00248148026973164,0.000948884997342248,0.0062046687817201
2,0.000259382190597535,0.000105345417978242,0.000579026425839402,0.00105681270397326,0.000125070128585018,0.00455925025744364,0.00118010314472485,0.000162968751586353,0.00207421315038422,0.000837431132579998,0.00017314435657075,0.00141847556612144
3,6.1264071473488E-05,2.16054147585965E-05,0.000167833045149261,0.000174475368794447,2.32377919170782E-05,0.000628456268411052,0.000218986004438193,3.46970381694215E-05,0.000858288748228612,8.90740284527662E-05,2.45984592008123E-05,0.000150058423362983
4,3.40235964263987E-05,4.25216242661008E-06,5.45938084239121E-05,0.00012612912109186,7.80237076014601E-06,0.000363030644318011,1.44391000958422E-05,9.8602204919492E-06,2.66573116884198E-05,5.91459070392375E-05,1.50943485171714E-05,0.00015427307819967
5,3.68542840533337E-05,9.01728973682718E-06,7.97058955868124E-05,9.03435549086377E-05,1.22857701777927E-05,0.000182743072703791,8.89994493680509E-05,5.14212454542455E-06,0.000323128094654142,6.32358179397367E-05,1.14277721650069E-05,0.000260565186181339
6,1.91778981805631E-05,4.3404043215863E-06,4.11478128323021E-05,0.0000464256547274999,4.29064418009754E-06,0.000114220073252606,4.26222642734804E-05,5.12699407787901E-06,9.94644224192598E-05,5.39044562647935E-05,3.98223040557847E-06,0.000223034054215532
7,1.5393458094574E-05,5.7280271713959E-06,3.73164950057496E-05,5.05045065248548E-05,6.33877620733377E-06,0.000151731865723074,1.58933301425653E-05,2.65424068857101E-06,4.3817752157338E-05,4.98108520995781E-05,1.74704826842268E-06,0.000231583263181771
8,2.28751472301762E-05,9.82068589413151E-06,3.0720469718896E-05,5.48256366130317E-05,2.53409535844185E-06,0.000180434621749252,7.87882627453958E-05,5.07750752376523E-06,0.000351866277924273,9.85171143194445E-06,2.02099725280884E-06,2.8911238132423E-05
9,3.45941264830193E-05,3.00467716366863E-06,5.99513346060121E-05,9.81557112519719E-06,4.2512387210536E-06,1.46934544697312E-05,1.80897511010395E-05,5.83842355202554E-06,5.71678813988304E-05,3.28792088197361E-05,1.2796103353215E-06,0.000129627042042557
10,4.21387048997228E-05,6.20555791404816E-06,9.39699484661105E-05,3.73563840526003E-05,1.02640780141883E-06,6.22840263228379E-05,4.75198793462065E-05,6.77747876428233E-06,9.72874834891021E-05,1.07166355756287E-05,2.17565586524415E-06,2.17002224568811E-05
11,8.65276577333892E-05,2.80609719046273E-06,0.00040142562162752,6.98924543068339E-05,4.0230694935417E-06,0.000144392282284874,8.87640504837843E-05,3.25041784776658E-06,0.000410927447470992,2.25340759347622E-05,1.25604276017081E-06,5.58973899084473E-05
12,3.67438943934909E-05,1.80089670228275E-06,0.00013050285421438,3.02506011072031E-05,3.55931705560882E-06,4.64151620083915E-05,0.00184633157557528,3.56652839172966E-06,0.00914554967312142,2.98190111190403E-05,4.76802324556047E-06,0.000108861979545812
13,6.53639767146312E-05,3.75851071983864E-06,0.000195483802599483,2.83035891053866E-05,5.99985461728162E-06,6.80948372367614E-05,0.000208433848812698,1.15785301583552E-05,0.000711046489110837,1.17795246003046E-05,1.57347768000212E-06,1.79138141523557E-05
14,4.9866412853324E-05,9.55862404339314E-07,0.00021720921783223,3.28161265827021E-05,2.95105904039398E-06,8.53252095112111E-05,1.67740156011102E-05,1.95728446783505E-06,4.20643997737595E-05,9.52872260389389E-05,7.57586584162103E-06,0.00039078339492941
15,3.13873727274464E-05,8.29100143088605E-06,4.96673472601591E-05,0.00030315700705709,1.53659394660129E-06,0.0014811941946391,7.56574299316526E-06,1.25563362492661E-06,1.25875636740602E-05,0.00151289598735692,2.75032371632733E-06,0.00736859910345326
16,3.08816242409193E-05,2.87843721480385E-06,7.88999686847092E-05,3.4404324744249E-05,4.06766714415123E-06,0.000112445205862362,6.54239898096876E-06,1.72417450035785E-06,1.91494824169543E-05,6.6926087244686E-05,2.48157086465047E-06,0.000315575859834401
17,0.000106525175613115,3.99753452029472E-06,0.000395223511683677,4.70433407883775E-05,1.60884239145768E-06,0.000171091434215972,5.64637755208726E-05,6.85701210538052E-06,0.000226389753152034,1.66568821015289E-05,1.28997727699698E-06,3.98608328093057E-05
