epoch,E50_val_loss,E50_val_loss_min,E50_val_loss_max,E100_val_loss,E100_val_loss_min,E100_val_loss_max,E150_val_loss,E150_val_loss_min,E150_val_loss_max,E200_val_loss,E200_val_loss_min,E200_val_loss_max
1,0.0115272808703594,0.00250778667395934,0.0180562736466527,0.0115272808703594,0.00250778667395934,0.0180562736466527,0.0115272808703594,0.00250778667395934,0.0180562736466527,0.0115272808703594,0.00250778667395934,0.0180562736466527
2,0.00499334163148887,0.00197302788146772,0.0156000284478068,0.00499334163148887,0.00197302788146772,0.0156000284478068,0.00499334163148887,0.00197302788146772,0.0156000284478068,0.00499334163148887,0.00197302788146772,0.0156000284478068
3,0.00193677828094224,0.000509359846182633,0.00260274800239131,0.00193677828094224,0.000509359846182633,0.00260274800239131,0.00193677828094224,0.000509359846182633,0.00260274800239131,0.00193677828094224,0.000509359846182633,0.00260274800239131
4,0.00125213732069824,0.000486952470964752,0.00244802100933157,0.00125213732069824,0.000486952470964752,0.00244802100933157,0.00125213732069824,0.000486952470964752,0.00244802100933157,0.00125213732069824,0.000486952470964752,0.00244802100933157
5,0.000878180710424203,0.000474328431300819,0.00239283215487376,0.000878180710424203,0.000474328431300819,0.00239283215487376,0.000878180710424203,0.000474328431300819,0.00239283215487376,0.000878180710424203,0.000474328431300819,0.00239283215487376
6,0.000814058181713335,0.000460113531153183,0.00213533540372737,0.000814058181713335,0.000460113531153183,0.00213533540372737,0.000814058181713335,0.000460113531153183,0.00213533540372737,0.000814058181713335,0.000460113531153183,0.00213533540372737
7,0.000496380384429358,0.000393282744335011,0.000639217195566744,0.000496380384429358,0.000393282744335011,0.000639217195566744,0.000496380384429358,0.000393282744335011,0.000639217195566744,0.000496380384429358,0.000393282744335011,0.000639217195566744
8,0.000416097194975009,0.0001450254007068,0.000527246913406998,0.000416097194975009,0.0001450254007068,0.000527246913406998,0.000416097194975009,0.0001450254007068,0.000527246913406998,0.000416097194975009,0.0001450254007068,0.000527246913406998
9,0.000384302626480348,0.000132711010519415,0.00051389873115113,0.000384302626480348,0.000132711010519415,0.00051389873115113,0.000384302626480348,0.000132711010519415,0.00051389873115113,0.000384302626480348,0.000132711010519415,0.00051389873115113
10,0.000303359206736786,0.00012743504557875,0.000505951876402833,0.000303359206736786,0.00012743504557875,0.000505951876402833,0.000303359206736786,0.00012743504557875,0.000505951876402833,0.000303359206736786,0.00012743504557875,0.000505951876402833
11,0.000230365320312558,0.000125480804854305,0.000496346260479186,0.000230365320312558,0.000125480804854305,0.000496346260479186,0.000230365320312558,0.000125480804854305,0.000496346260479186,0.000230365320312558,0.000125480804854305,0.000496346260479186
12,0.000213903044204926,0.000127848623742466,0.000487342738779262,0.000213903044204926,0.000127848623742466,0.000487342738779262,0.000213903044204926,0.000127848623742466,0.000487342738779262,0.000213903044204926,0.000127848623742466,0.000487342738779262
13,0.000203730169159826,0.000126431145690731,0.000486499338876456,0.000203730169159826,0.000126431145690731,0.000486499338876456,0.000203730169159826,0.000126431145690731,0.000486499338876456,0.000203730169159826,0.000126431145690731,0.000486499338876456
14,0.000209413272241363,0.00012540800817078,0.000477487145690247,0.000209413272241363,0.00012540800817078,0.000477487145690247,0.000209413272241363,0.00012540800817078,0.000477487145690247,0.000209413272241363,0.00012540800817078,0.000477487145690247
15,0.000196229689390748,0.000121958608724526,0.000469618781062309,0.000196229689390748,0.000121958608724526,0.000469618781062309,0.000196229689390748,0.000121958608724526,0.000469618781062309,0.000196229689390748,0.000121958608724526,0.000469618781062309
16,0.000192954429076053,0.000121724947530311,0.000456350896274671,0.000192954429076053,0.000121724947530311,0.000456350896274671,0.000192954429076053,0.000121724947530311,0.000456350896274671,0.000192954429076053,0.000121724947530311,0.000456350896274671
17,0.000186505966485129,0.000120350602446706,0.000433684642484877,0.000186505966485129,0.000120350602446706,0.000433684642484877,0.000186505966485129,0.000120350602446706,0.000433684642484877,0.000186505966485129,0.000120350602446706,0.000433684642484877
18,0.000176779231842374,0.00011877957113029,0.000380375173699576,0.000176779231842374,0.00011877957113029,0.000380375173699576,0.000176779231842374,0.00011877957113029,0.000380375173699576,0.000176779231842374,0.00011877957113029,0.000380375173699576
19,0.00015902888160781,0.000122612559425761,0.000256857551721623,0.00015902888160781,0.000122612559425761,0.000256857551721623,0.00015902888160781,0.000122612559425761,0.000256857551721623,0.00015902888160781,0.000122612559425761,0.000256857551721623
20,0.000129546520183794,0.00011381429467292,0.000151965809709509,0.000129546520183794,0.00011381429467292,0.000151965809709509,0.000129546520183794,0.00011381429467292,0.000151965809709509,0.000129546520183794,0.00011381429467292,0.000151965809709509
21,0.000127819853296387,0.000104457542693126,0.000144512967744959,0.000127819853296387,0.000104457542693126,0.000144512967744959,0.000127819853296387,0.000104457542693126,0.000144512967744959,0.000127819853296387,0.000104457542693126,0.000144512967744959
22,0.000118904772243695,8.00090550910682E-05,0.000139259882780607,0.000118904772243695,8.00090550910682E-05,0.000139259882780607,0.000118904772243695,8.00090550910682E-05,0.000139259882780607,0.000118904772243695,8.00090550910682E-05,0.000139259882780607
23,0.000113032510853373,5.24237941135652E-05,0.000136532682881807,0.000113032510853373,5.24237941135652E-05,0.000136532682881807,0.000113032510853373,5.24237941135652E-05,0.000136532682881807,0.000113032510853373,5.24237941135652E-05,0.000136532682881807
