epoch,N50_val_loss,N50_val_loss_min,N50_val_loss_max,N100_val_loss,N100_val_loss_min,N100_val_loss_max,N150_val_loss,N150_val_loss_min,N150_val_loss_max,N200_val_loss,N200_val_loss_min,N200_val_loss_max
1,0.0117191072041169,0.00269069817150012,0.0186999319121242,0.0117191072041169,0.00269069817150012,0.0186999319121242,0.0117191072041169,0.00269069817150012,0.0186999319121242,0.0117191072041169,0.00269069817150012,0.0186999319121242
2,0.00707869062782265,0.0023635656631086,0.0166532365139574,0.00707869062782265,0.0023635656631086,0.0166532365139574,0.00707869062782265,0.0023635656631086,0.0166532365139574,0.00707869062782265,0.0023635656631086,0.0166532365139574
3,0.0024731602682732,0.00171836033114232,0.00370234358124435,0.0024731602682732,0.00171836033114232,0.00370234358124435,0.0024731602682732,0.00171836033114232,0.00370234358124435,0.0024731602682732,0.00171836033114232,0.00370234358124435
4,0.00168621887918562,0.000558808098139707,0.00251130285905674,0.00168621887918562,0.000558808098139707,0.00251130285905674,0.00168621887918562,0.000558808098139707,0.00251130285905674,0.00168621887918562,0.000558808098139707,0.00251130285905674
5,0.00164441980683478,0.000528046021645423,0.002417068061186,0.00164441980683478,0.000528046021645423,0.002417068061186,0.00164441980683478,0.000528046021645423,0.002417068061186,0.00164441980683478,0.000528046021645423,0.002417068061186
6,0.00160000322037376,0.000496212832513265,0.00236840299330652,0.00160000322037376,0.000496212832513265,0.00236840299330652,0.00160000322037376,0.000496212832513265,0.00236840299330652,0.00160000322037376,0.000496212832513265,0.00236840299330652
7,0.00134319409553427,0.000326726681669243,0.00230093119316734,0.00134319409553427,0.000326726681669243,0.00230093119316734,0.00134319409553427,0.000326726681669243,0.00230093119316734,0.00134319409553427,0.000326726681669243,0.00230093119316734
8,0.000905107122453046,0.000141338458706741,0.00195664071361534,0.000905107122453046,0.000141338458706741,0.00195664071361534,0.000905107122453046,0.000141338458706741,0.00195664071361534,0.000905107122453046,0.000141338458706741,0.00195664071361534
9,0.000470155894654454,0.000129306967210141,0.000622227916028351,0.000470155894654454,0.000129306967210141,0.000622227916028351,0.000470155894654454,0.000129306967210141,0.000622227916028351,0.000470155894654454,0.000129306967210141,0.000622227916028351
10,0.000447379338729661,0.000127753186097834,0.000562251477094833,0.000447379338729661,0.000127753186097834,0.000562251477094833,0.000447379338729661,0.000127753186097834,0.000562251477094833,0.000447379338729661,0.000127753186097834,0.000562251477094833
11,0.000437205357447965,0.000124904618860455,0.000552802186575718,0.000437205357447965,0.000124904618860455,0.000552802186575718,0.000437205357447965,0.000124904618860455,0.000552802186575718,0.000437205357447965,0.000124904618860455,0.000552802186575718
12,0.000399908664403483,0.000114041072083637,0.000544653325050604,0.000399908664403483,0.000114041072083637,0.000544653325050604,0.000399908664403483,0.000114041072083637,0.000544653325050604,0.000399908664403483,0.000114041072083637,0.000544653325050604
13,0.000321381618268788,0.000100157424458303,0.000543202305561863,0.000321381618268788,0.000100157424458303,0.000543202305561863,0.000321381618268788,0.000100157424458303,0.000543202305561863,0.000321381618268788,0.000100157424458303,0.000543202305561863
14,0.000327136267405876,6.10630899245734E-05,0.000543425253999885,0.000327136267405876,6.10630899245734E-05,0.000543425253999885,0.000327136267405876,6.10630899245734E-05,0.000543425253999885,0.000327136267405876,6.10630899245734E-05,0.000543425253999885
15,0.000290297467909113,4.90316962896031E-05,0.000599865373806097,0.000290297467909113,4.90316962896031E-05,0.000599865373806097,0.000290297467909113,4.90316962896031E-05,0.000599865373806097,0.000290297467909113,4.90316962896031E-05,0.000599865373806097
16,0.000288764859287767,8.60695050505456E-05,0.000540139227814507,0.000288764859287767,8.60695050505456E-05,0.000540139227814507,0.000288764859287767,8.60695050505456E-05,0.000540139227814507,0.000288764859287767,8.60695050505456E-05,0.000540139227814507
17,0.000273889297095593,4.49305523943622E-05,0.000549576898629312,0.000273889297095593,4.49305523943622E-05,0.000549576898629312,0.000273889297095593,4.49305523943622E-05,0.000549576898629312,0.000273889297095593,4.49305523943622E-05,0.000549576898629312
18,0.000275052995239093,4.41630674686167E-05,0.000533445237670094,0.000275052995239093,4.41630674686167E-05,0.000533445237670094,0.000275052995239093,4.41630674686167E-05,0.000533445237670094,0.000275052995239093,4.41630674686167E-05,0.000533445237670094
19,0.000281046328673256,4.45056179160019E-05,0.000554175332945306,0.000281046328673256,4.45056179160019E-05,0.000554175332945306,0.000281046328673256,4.45056179160019E-05,0.000554175332945306,0.000281046328673256,4.45056179160019E-05,0.000554175332945306
20,0.000304292914661346,5.00210855534533E-05,0.000686043107998557,0.000304292914661346,5.00210855534533E-05,0.000686043107998557,0.000304292914661346,5.00210855534533E-05,0.000686043107998557,0.000304292914661346,5.00210855534533E-05,0.000686043107998557
21,0.000359389550503693,5.19886305482942E-05,0.000622670302982442,0.000359389550503693,5.19886305482942E-05,0.000622670302982442,0.000359389550503693,5.19886305482942E-05,0.000622670302982442,0.000359389550503693,5.19886305482942E-05,0.000622670302982442
22,0.000375857137969433,4.063921778652E-05,0.000764495358453132,0.000375857137969433,4.063921778652E-05,0.000764495358453132,0.000375857137969433,4.063921778652E-05,0.000764495358453132,0.000375857137969433,4.063921778652E-05,0.000764495358453132
23,0.000301190742320614,0.000145948071440216,0.000572563147579785,0.000301190742320614,0.000145948071440216,0.000572563147579785,0.000301190742320614,0.000145948071440216,0.000572563147579785,0.000301190742320614,0.000145948071440216,0.000572563147579785
24,0.000274564176579588,5.27251213497948E-05,0.000570287517621182,0.000274564176579588,5.27251213497948E-05,0.000570287517621182,0.000274564176579588,5.27251213497948E-05,0.000570287517621182,0.000274564176579588,5.27251213497948E-05,0.000570287517621182
25,0.000613668591322494,4.10591121180914E-05,0.00212892718263902,0.000613668591322494,4.10591121180914E-05,0.00212892718263902,0.000613668591322494,4.10591121180914E-05,0.00212892718263902,0.000613668591322494,4.10591121180914E-05,0.00212892718263902
26,0.000359820888770628,3.78265922336141E-05,0.000784533019759692,0.000359820888770628,3.78265922336141E-05,0.000784533019759692,0.000359820888770628,3.78265922336141E-05,0.000784533019759692,0.000359820888770628,3.78265922336141E-05,0.000784533019759692
27,0.000263953948015114,4.75755517982179E-05,0.000794836721615866,0.000263953948015114,4.75755517982179E-05,0.000794836721615866,0.000263953948015114,4.75755517982179E-05,0.000794836721615866,0.000263953948015114,4.75755517982179E-05,0.000794836721615866
28,0.000193937258554797,4.11469447499258E-05,0.000510207287152298,0.000193937258554797,4.11469447499258E-05,0.000510207287152298,0.000193937258554797,4.11469447499258E-05,0.000510207287152298,0.000193937258554797,4.11469447499258E-05,0.000510207287152298
29,0.000171039631568419,4.19324860558845E-05,0.000498275796417147,0.000171039631568419,4.19324860558845E-05,0.000498275796417147,0.000171039631568419,4.19324860558845E-05,0.000498275796417147,0.000171039631568419,4.19324860558845E-05,0.000498275796417147
30,0.000397464725592727,3.76583209799719E-05,0.00126709654578008,0.000397464725592727,3.76583209799719E-05,0.00126709654578008,0.000397464725592727,3.76583209799719E-05,0.00126709654578008,0.000397464725592727,3.76583209799719E-05,0.00126709654578008
31,0.000181128046879167,3.42659011039359E-05,0.000426739250542596,0.000181128046879167,3.42659011039359E-05,0.000426739250542596,0.000181128046879167,3.42659011039359E-05,0.000426739250542596,0.000181128046879167,3.42659011039359E-05,0.000426739250542596
32,0.000164284095044422,6.71605404932052E-05,0.00027135453565279,0.000164284095044422,6.71605404932052E-05,0.00027135453565279,0.000164284095044422,6.71605404932052E-05,0.00027135453565279,0.000164284095044422,6.71605404932052E-05,0.00027135453565279
33,0.000726329815097415,3.59457206286606E-05,0.00327508434420452,0.000726329815097415,3.59457206286606E-05,0.00327508434420452,0.000726329815097415,3.59457206286606E-05,0.00327508434420452,0.000726329815097415,3.59457206286606E-05,0.00327508434420452
