epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
51,,,,0.8599,0.8587,0.8616,0.85322,0.847,0.8596,0.85222,0.8487,0.8565
52,,,,0.8585,0.8548,0.8607,0.85498,0.8508,0.8575,0.84994,0.8449,0.8529
53,,,,0.85704,0.8473,0.8628,0.85388,0.8442,0.8598,0.85278,0.8476,0.8573
54,,,,0.8609,0.8594,0.8627,0.85566,0.8521,0.8613,0.8515,0.8427,0.858
55,,,,0.85914,0.8539,0.8619,0.85978,0.8518,0.8636,0.85498,0.847,0.8629
56,,,,0.86084,0.8586,0.8628,0.85432,0.8518,0.8577,0.85648,0.8479,0.861
57,,,,0.85898,0.8556,0.8626,0.85552,0.848,0.859,0.85054,0.8462,0.8541
58,,,,0.86212,0.8557,0.8676,0.85534,0.8532,0.8619,0.8517,0.8482,0.8554
59,,,,0.86242,0.8598,0.8639,0.8586,0.8538,0.8628,0.85444,0.8504,0.8572
60,,,,0.86298,0.8617,0.8643,0.86056,0.8544,0.866,0.85572,0.8479,0.8625
61,,,,0.8633,0.8602,0.8675,0.86132,0.8582,0.8641,0.85528,0.8518,0.8595
62,,,,0.86452,0.8622,0.8691,0.85704,0.8498,0.8613,0.8545,0.8483,0.8566
63,,,,0.86282,0.8537,0.8674,0.85982,0.8582,0.8622,0.85564,0.8508,0.8582
64,,,,0.86332,0.861,0.8646,0.86072,0.857,0.8642,0.8555,0.852,0.8594
65,,,,0.8645,0.8591,0.8676,0.85922,0.8452,0.8646,0.8563,0.8493,0.8595
66,,,,0.86642,0.8642,0.868,0.86134,0.8578,0.8661,0.85694,0.8508,0.8647
67,,,,0.86602,0.8625,0.8702,0.86008,0.8562,0.8665,0.85782,0.8501,0.8654
68,,,,0.86468,0.8636,0.8674,0.86382,0.8606,0.8674,0.8564,0.8515,0.8605
69,,,,0.86512,0.8626,0.8679,0.86144,0.8582,0.8668,0.85756,0.851,0.8649
70,,,,0.86682,0.8646,0.8696,0.8633,0.8593,0.8665,0.85536,0.8508,0.8605
71,,,,0.86716,0.8631,0.8716,0.86268,0.8554,0.8697,0.85796,0.8534,0.8605
72,,,,0.8672,0.8644,0.8698,0.86454,0.8602,0.8669,0.85938,0.8536,0.8635
73,,,,0.8672,0.8641,0.8713,0.8626,0.8615,0.8632,0.85916,0.8525,0.8646
74,,,,0.86824,0.8649,0.8722,0.86392,0.8609,0.866,0.85908,0.8526,0.8628
75,,,,0.86922,0.8676,0.8723,0.86424,0.8609,0.8663,0.86024,0.8579,0.8627
76,,,,0.86986,0.867,0.8721,0.86392,0.8586,0.8698,0.8575,0.8503,0.8616
77,,,,0.86922,0.8676,0.8712,0.86488,0.8624,0.8674,0.8608,0.857,0.8645
78,,,,0.86948,0.8657,0.873,0.865,0.8605,0.8673,0.85908,0.8516,0.8647
79,,,,0.86996,0.8668,0.8745,0.8662,0.8638,0.8701,0.86146,0.858,0.8641
80,,,,0.87002,0.8674,0.8728,0.86552,0.8631,0.8683,0.8599,0.8542,0.8636
81,,,,0.86946,0.8659,0.8713,0.86494,0.8627,0.8671,0.86174,0.8549,0.8668
82,,,,0.87018,0.8688,0.8719,0.86442,0.8615,0.8705,0.85922,0.8512,0.8639
83,,,,0.8706,0.8678,0.8726,0.86546,0.8605,0.8695,0.8597,0.8544,0.8652
