epoch,H50_val_loss,H50_val_loss_min,H50_val_loss_max,H100_val_loss,H100_val_loss_min,H100_val_loss_max,H150_val_loss,H150_val_loss_min,H150_val_loss_max,H200_val_loss,H200_val_loss_min,H200_val_loss_max
1,0.0270577616617084,0.0166328437626362,0.0378620223142207,0.0270577616617084,0.0166328437626362,0.0378620223142207,0.0270577616617084,0.0166328437626362,0.0378620223142207,0.0270577616617084,0.0166328437626362,0.0378620223142207
2,0.0103475075308234,0.00761040546931326,0.0126027915161103,0.0102781941695139,0.00744941220618784,0.012444891454652,0.0103531340463087,0.00758525812998414,0.0124462569598109,0.0103033558139578,0.00750795498024672,0.0124071900732815
3,0.00777442258317024,0.00477878523524851,0.0103205060353503,0.00719742186833173,0.0047157702036202,0.010355760762468,0.0073607465159148,0.00507092166226357,0.010243877558969,0.0071341260522604,0.00503918926697224,0.010220987489447
4,0.00437001453479752,0.00363351741107181,0.00544481696560979,0.00448542868718505,0.00380155377788469,0.00595557380001992,0.00428952286485583,0.00375618789112195,0.0047812370932661,0.00436114534037188,0.00368924123467878,0.00493064633337781
5,0.00367940845666453,0.00245351155754179,0.00463808187050745,0.00353635438950732,0.00275771163869649,0.00460692562628537,0.00352092675631866,0.00245310754980892,0.00514230445260182,0.00353064909228124,0.00257532873074524,0.00450082864845172
6,0.00258881518268026,0.00149634764529765,0.00365671658655629,0.00262322870548815,0.00163847840158269,0.00413710455177352,0.00235068580019288,0.00123756522662006,0.00390756349079311,0.00230692934710532,0.00131608863011934,0.00364075074903667
7,0.00183811029943172,0.000819727950147353,0.00341525255935267,0.00217278664640617,0.000874092028243467,0.00380226691486314,0.00182230880775023,0.00080604802351445,0.00335631052730605,0.00187805673456751,0.000910193054005504,0.00293490298790857
8,0.00162369101832155,0.000562653187080287,0.00289803493069485,0.00149679854221176,0.000750573052209802,0.00289644801523536,0.00106905463209841,0.000577866306412034,0.00197904945234768,0.00123844688438112,0.000555483980861027,0.00247071292251348
9,0.000902743435581215,0.000431977421976626,0.00148229241603985,0.000841262851317879,0.000426806282484904,0.00128241362981498,0.000891291136504151,0.000477769569261,0.00162722494569607,0.000899105055432301,0.000496581982588396,0.0012474145332817
10,0.000758660134160891,0.00035785025684163,0.0011895015661139,0.000743133101204876,0.000475878355791792,0.00100854521151632,0.000705518990580458,0.00031776984105818,0.00122844096331391,0.000702067502716091,0.000412673648679629,0.0010344172565965
11,0.000695664318482159,0.000274104563141009,0.00123949731932953,0.000676471747865435,0.000320283453038428,0.00106737873284146,0.000647082201612648,0.000278091797372326,0.0012411888979841,0.000786728738894453,0.000260175173025345,0.00189116970286705
12,0.000805764689139323,0.000226058263797313,0.00219316283473745,0.000921474901406327,0.000270978379558073,0.00257959912996739,0.000809316720551578,0.000229240614135051,0.00207794617163017,0.000842706191469915,0.000352764708804898,0.00207752187852748
13,0.000478228239662712,0.000222799074981594,0.00082221005577594,0.000585517368017463,0.000185769303789129,0.000954530495801009,0.000601646504655946,0.000343230756698176,0.00107962158799637,0.000432041721651331,0.000161510329053272,0.000724582027760334
14,0.000413684256491251,0.00012386882735882,0.000860824983101338,0.000366860432040994,0.000116307069038157,0.000624299579067156,0.000435164367809193,0.000123893626005156,0.000923934223828837,0.000634507515205769,0.000174592178518651,0.00148831757251173
15,0.000390053954033647,0.000114165428385604,0.000753412180347368,0.000313530931307469,0.000117203717672965,0.000586591505270917,0.000339587485359516,0.000162597570306389,0.000644825087510981,0.00035197410688852,0.000253946364682633,0.000550683449546341
16,0.000345164020036464,8.88768143340712E-05,0.000615275517338887,0.000543651156476699,0.000148172008630354,0.000978598243091256,0.000345680644677486,0.000116448208427755,0.000570756604429334,0.000395107548174565,0.000122775677664322,0.00067949254589621
17,0.000425840629613958,0.000187710879981751,0.000828899850603193,0.00043891837252886,0.000182209685590351,0.000825277072726749,0.000333856084907893,0.000105799767334247,0.000643834180664271,0.000342125337192556,0.000185282516031293,0.000528372758708429
18,0.000247046128424699,0.000114024094727938,0.000351658862200566,0.000386496911378345,7.18950861482881E-05,0.00059736316325143,0.000251436788312276,0.00011102315656899,0.000429484144842718,0.000225576539742178,9.50627971178619E-05,0.000433034828165546
19,0.000263609574831207,6.24143318418646E-05,0.000336400062951725,0.000283153817726998,9.05499742657412E-05,0.000506353711534757,0.000331992289393384,7.21068148777704E-05,0.000807598177925684,0.000226249880179239,7.79096726546413E-05,0.000324265696690418
20,0.000268913908366812,0.000131314476311672,0.000459931332443375,0.000259201822482282,0.000195598187565338,0.000316038228629623,0.000334670595329953,0.000182043195673032,0.000663611668278463,0.000271756225192803,0.000156449013957172,0.00037403018650366
21,0.000220627568778582,8.53575820656261E-05,0.000373334364849143,0.000229388927473337,7.08311392372707E-05,0.000452394061721861,0.0002273414740921,5.80457395699341E-05,0.000404865255404729,0.000539679835856077,8.48573257826502E-05,0.00140797288622707
22,0.000155677461953019,9.36910138989333E-05,0.000203998985671205,0.000219259480509209,8.52880948514212E-05,0.000345616845879704,0.000193113853674731,0.000103956163002294,0.00026728137745522,0.000203396574797807,5.2608714759117E-05,0.000443245584028773
23,0.0002045290217211,5.32822356035467E-05,0.000371412081585731,0.000177133831530227,9.10120055777952E-05,0.000270579205971444,0.000153467861819081,9.88266307103913E-05,0.000227131160499994,0.000179014210880268,9.18650344829075E-05,0.000248028476926265
24,0.000236178166451282,7.51632553146919E-05,0.000379707952379249,0.000256678883488348,7.09198140611989E-05,0.000432586882379837,0.000310656290275801,4.44482766397414E-05,0.000590406441187952,0.000475475350176566,6.88697713485453E-05,0.00137920382840093
25,0.000167780889896676,0.000104509864831925,0.000230312490020879,0.000239742589619709,5.75611717067659E-05,0.000678484659874812,0.000517349452420604,0.000182152845081873,0.00100458796077874,0.00019692807814863,0.00011900933823199,0.000308369326376123
26,0.000319352737024019,4.60190805824823E-05,0.000736553675960749,0.000220722821177333,9.19145630177809E-05,0.00033239598851651,0.000171129512018524,0.000116353037810768,0.000208335735806031,0.000145528643515718,5.11502510562423E-05,0.000248789766192203
27,0.000188572480255971,8.66868420416722E-05,0.000300451190560125,0.000288670908630593,0.000113586636143737,0.000811322461231612,0.000145597423106665,9.34422911086585E-05,0.000231223183072871,0.000151126731798286,4.84956697619054E-05,0.000321092917874921
28,0.000138445211232465,7.74916639784351E-05,0.00025411553287995,0.000114349750292604,8.28596610517707E-05,0.000167674391559558,0.000127709767875785,6.97955443683895E-05,0.000210995947418269,0.000156533161243715,5.03820743688266E-05,0.000297189975390211
29,0.00011201832734514,3.53949333657511E-05,0.000172218238003552,0.000126440359708795,5.22406846357626E-05,0.000187409602949629,0.000163481663312268,3.0339353816089E-05,0.000480882042757003,0.00011388172457373,6.56195306873997E-05,0.000182596164086135
30,0.000231303401233163,3.14295522912289E-05,0.000637061629095115,0.000121369976550341,5.40969787834911E-05,0.000209281824936625,0.000154368649200478,4.07391245971667E-05,0.00048130308277905,0.000290013354460825,6.13158410487813E-05,0.000893768071546219
31,9.37733010687225E-05,3.02949799333874E-05,0.000142361835969496,0.000103823886493046,5.15044039275381E-05,0.000214887037145672,0.000117948683619034,4.8529214473092E-05,0.000279463647893863,0.000155101613636361,6.93838839652017E-05,0.000356652222399134
32,9.44684397836682E-05,4.99888334161369E-05,0.000125528958960786,0.000124430508949445,7.77062734414358E-05,0.000231391598208575,0.000253312093300337,7.00519392921706E-05,0.000667310079734307,0.000154913437509094,9.84152185992571E-05,0.000230359546549153
