epoch,EH50_val_loss,EH50_val_loss_min,EH50_val_loss_max,EH100_val_loss,EH100_val_loss_min,EH100_val_loss_max,EH150_val_loss,EH150_val_loss_min,EH150_val_loss_max,EH200_val_loss,EH200_val_loss_min,EH200_val_loss_max
1,0.00258932490134612,0.00086369882337749,0.00400596699910238,0.00258932490134612,0.00086369882337749,0.00400596699910238,0.00258932490134612,0.00086369882337749,0.00400596699910238,0.00258932490134612,0.00086369882337749,0.00400596699910238
2,0.00165560441324487,0.00058147136005573,0.00258321047294885,0.00164696413296042,0.000550685705093201,0.00258511394495144,0.00164643685537158,0.000552887136291247,0.00258588370634243,0.00164674372179434,0.000556505372514948,0.00258622412802652
3,0.00120282243718975,0.00030459070330835,0.00235167817445472,0.00119410598825198,0.000250127694744151,0.00234906137920916,0.00118299029534683,0.000204046819999348,0.00234694189857692,0.00118056284074555,0.000196792650240241,0.00234566212166101
4,0.000823621087329229,0.000159874706150731,0.00209613754414022,0.000787250519788358,0.00018334339838475,0.00204385415418074,0.000779548202262959,0.000182007448893273,0.00202239878708497,0.000773183092387626,0.000175314366788371,0.00201253400882706
5,0.000455979880644009,0.00014841047959635,0.000680707598803565,0.000450347049627453,0.00014512503403239,0.00063495142821921,0.000455286433134461,0.00018405033115414,0.0006273844424868,0.000455386562389322,0.000157521014625672,0.000625755175133236
6,0.000378649849735666,0.000149097556277411,0.000549088339903392,0.000386556727025891,0.000151451340934727,0.000553240394219756,0.000384509378418443,0.000149797487028991,0.000560261559439823,0.000378834511793684,0.000157950347784208,0.000561448759981431
7,0.00034702253236901,0.000159758079098538,0.000525093468604609,0.000344319494615775,0.000172510799166048,0.000521340967679862,0.000339828057331033,0.000140840701715206,0.00052188349654898,0.000326582461275393,0.000149236771540018,0.000524416666303296
8,0.000283135489517008,0.000137799890944734,0.00050826852384489,0.000285823817685014,0.000140714048757218,0.000503132047015242,0.000278989759608521,0.000131479094488896,0.000506552666774951,0.000271161223354284,0.00014151292052702,0.000502269629214425
9,0.000264637517320807,0.000138156061439076,0.000545466459880117,0.000219634168970515,0.000130031020671595,0.000495958283136133,0.000232708593466668,0.000123180712398607,0.000483048777095974,0.000224845393095166,0.000145746491398313,0.000481105111248326
10,0.000207811106520239,0.000124726825015387,0.000476634154620115,0.000237676858669147,0.000107384889997775,0.000466166555997916,0.000219554403447546,0.000134912855355651,0.000475035331328399,0.000211701095431636,6.33937286693254E-05,0.000481738201051485
11,0.000198114479717333,8.65735117258737E-05,0.000454560037178453,0.000185927801321668,5.92971826335997E-05,0.000414185416593682,0.000175268348830286,5.8745368005475E-05,0.000388384067628067,0.000213961673143785,4.96991968248039E-05,0.000368214034824632
12,0.000177043192888959,4.85693788505159E-05,0.000400897877989337,0.000149495105615642,4.54842347608064E-05,0.000286442512879148,0.000144090735375357,4.56669278719346E-05,0.000242270294256741,0.000146084032130602,4.55697978395619E-05,0.000232845128630288
13,0.000150466640116065,4.60501447378192E-05,0.000292671320494264,0.000134384644516103,4.75871902381186E-05,0.000210519930988085,0.000134624708953197,5.66060109122191E-05,0.000217685316602001,0.0001382938455572,4.38578170360415E-05,0.000227924836508464
14,0.000134257834870368,4.57188620202942E-05,0.00021668347180821,0.0001279160494596,4.5532362855738E-05,0.000193759279500227,0.000129216179338982,5.44290622201515E-05,0.000189047212916194,0.000128890820851666,5.05451826029457E-05,0.000184239503869321
15,0.000130976060790999,4.45043906438514E-05,0.000196782435523346,0.000128683508810354,4.3860999358003E-05,0.000179539619421121,0.000134806376627239,4.37630393207655E-05,0.000181064703065204,0.000144806891876215,4.37517564932932E-05,0.000220786236604909
16,0.000125830059332657,4.27236976975109E-05,0.000190649923752062,0.000123223700975359,4.32689395893249E-05,0.00017750663246261,0.000126069760917744,4.43555103629478E-05,0.000171910882636439,0.000121006295958068,4.26341739512282E-05,0.000169308357362752
17,0.000121637535612535,4.25321150942182E-05,0.00017597419428057,0.000118578293204337,4.18501281274075E-05,0.000161900188686559,0.000114930368290516,4.45581859821687E-05,0.000161997070608777,0.000119592347982689,7.46695033740252E-05,0.000161469748127274
