epoch,P50_val_loss,P50_val_loss_min,P50_val_loss_max,P100_val_loss,P100_val_loss_min,P100_val_loss_max,P150_val_loss,P150_val_loss_min,P150_val_loss_max,P200_val_loss,P200_val_loss_min,P200_val_loss_max
1,1.58019338428974,1.54376014769077,1.61462214589119,1.58019338428974,1.54376014769077,1.61462214589119,1.58019338428974,1.54376014769077,1.61462214589119,1.58019338428974,1.54376014769077,1.61462214589119
2,1.3986942511797,1.36489606797695,1.42590039968491,1.3949465072155,1.36023854911327,1.42736342847347,1.39465361177921,1.35793464183807,1.42820131182671,1.39381109058857,1.36061637103558,1.4286392390728
3,1.26661920666695,1.25871392190456,1.27993089854717,1.26920406162739,1.26315252780914,1.28171902298927,1.26833153605461,1.25932422280312,1.28724731206894,1.27259247481823,1.25956304073334,1.28767411410809
4,1.21038767546415,1.16661571264267,1.27705718874931,1.20500489413738,1.16509678810835,1.25525052696466,1.20373870104551,1.16117686331272,1.26154194027185,1.20479017645121,1.16768252253532,1.2413712233305
5,1.13639353781939,1.11018396317959,1.15451297909021,1.13530554622412,1.10805363357067,1.16413210630417,1.14159615159035,1.11075828671455,1.16160422563553,1.13343432486057,1.11669373214245,1.15019266307354
6,1.09735586225987,1.07422340512276,1.11153675764799,1.0955661508441,1.08569470494986,1.11451596468687,1.09589042901993,1.07146225720644,1.11339792460203,1.09591524034739,1.08456082493067,1.10860530436039
7,1.07256622225046,1.0690502434969,1.07769598215818,1.08289530307055,1.07291276752949,1.09576804488897,1.07295519173145,1.06285817325115,1.0893060028553,1.0763942784071,1.05954666882753,1.08819383382797
8,1.04599676698446,1.01563759893179,1.07307453006506,1.05265865325928,1.0201909661293,1.07344717681408,1.0461131682992,1.01419363617897,1.07296113073826,1.04612895190716,1.01494039595127,1.06440318971872
9,1.02166098028421,1.00915248990059,1.0367538690567,1.02830514550209,1.00093700140715,1.04420674592257,1.02856343060732,1.010125669837,1.04369867891073,1.02884485334158,1.01354149729013,1.04410151988268
10,1.00519411921501,0.980284029245377,1.02179809957743,1.00706454157829,0.978123889863491,1.03184703439474,1.00715516149998,0.978676462173462,1.02134697437286,1.00678400158882,0.974910081923008,1.02901041656733
11,1.00573971927166,0.986425784230232,1.01330883949995,1.00293836474419,0.986764788627625,1.01340709030628,0.999267427027225,0.984061847627163,1.01284381449223,1.00107387721539,0.985093429684639,1.01980726569891
12,0.976751436591149,0.955758267641068,1.01090233176947,0.985882348716259,0.960281294584274,1.02954448908567,0.974968929886818,0.955890464782715,1.00495998412371,0.989548505544662,0.96529181599617,1.02824010103941
13,0.969037114083767,0.952382186055183,0.991132463514805,0.966347261071205,0.94397664219141,0.985803306102753,0.962233974635601,0.947497019171715,0.978081895411015,0.966516407132149,0.94957812577486,0.97944767177105
14,0.956251843571663,0.942649845778942,0.969113664329052,0.961598657667637,0.953642503917217,0.975983330607414,0.955423668026924,0.950499294698238,0.959599657356739,0.95563095420599,0.948430760204792,0.963677053153515
