epoch,P50_val_loss,P50_val_loss_min,P50_val_loss_max,P100_val_loss,P100_val_loss_min,P100_val_loss_max,P150_val_loss,P150_val_loss_min,P150_val_loss_max,P200_val_loss,P200_val_loss_min,P200_val_loss_max
51,,,,0.85844,0.8554,0.8614,0.85834,0.8534,0.8622,0.8563,0.8546,0.858
52,,,,0.85674,0.8515,0.8625,0.8578,0.8529,0.8621,0.8582,0.855,0.8619
53,,,,0.85738,0.8546,0.8601,0.8548,0.8487,0.8592,0.8572,0.8528,0.862
54,,,,0.85644,0.8503,0.861,0.85626,0.8535,0.8628,0.85638,0.8513,0.8624
55,,,,0.85696,0.8527,0.86,0.85552,0.8509,0.8593,0.85842,0.8574,0.8595
56,,,,0.85934,0.8569,0.8637,0.85554,0.8505,0.8606,0.8588,0.8556,0.8632
57,,,,0.8599,0.8569,0.8631,0.8577,0.8489,0.8627,0.86058,0.8563,0.8651
58,,,,0.85776,0.8522,0.863,0.85886,0.8559,0.8641,0.85756,0.8491,0.8624
59,,,,0.86064,0.8548,0.8641,0.8584,0.8532,0.8623,0.85836,0.8486,0.8665
60,,,,0.86198,0.8594,0.8636,0.85972,0.8528,0.8643,0.85808,0.854,0.8666
61,,,,0.86118,0.857,0.8654,0.85794,0.8497,0.8624,0.85876,0.8519,0.8645
62,,,,0.86046,0.8574,0.8649,0.85916,0.857,0.8636,0.85894,0.8544,0.8682
63,,,,0.8612,0.8576,0.8647,0.85894,0.8562,0.8623,0.86068,0.8549,0.8662
64,,,,0.86252,0.8569,0.8647,0.85998,0.8559,0.8658,0.86032,0.853,0.8651
65,,,,0.86102,0.8582,0.8625,0.86044,0.8567,0.8661,0.86122,0.8587,0.8662
66,,,,0.8628,0.8597,0.8667,0.85864,0.8551,0.8627,0.8614,0.8597,0.8644
67,,,,0.86096,0.8569,0.8645,0.85932,0.8569,0.8623,0.86096,0.8557,0.8652
68,,,,0.8631,0.8602,0.8676,0.86194,0.8597,0.8663,0.86088,0.8591,0.8638
69,,,,0.86168,0.8594,0.8639,0.86092,0.8575,0.8638,0.8613,0.8568,0.8675
70,,,,0.86168,0.8597,0.8638,0.8618,0.8532,0.8677,0.86064,0.8569,0.8644
71,,,,0.86372,0.8608,0.8656,0.86472,0.859,0.8695,0.86054,0.8563,0.8638
72,,,,0.86528,0.8646,0.8663,0.86346,0.8608,0.8657,0.86194,0.8585,0.8666
73,,,,0.86406,0.8629,0.8658,0.86146,0.859,0.8683,0.85994,0.8558,0.8658
74,,,,0.86394,0.8607,0.8659,0.86466,0.8611,0.868,0.8631,0.8577,0.8711
75,,,,0.8649,0.8637,0.8681,0.86322,0.8604,0.8672,0.86226,0.8547,0.8646
76,,,,0.86558,0.8631,0.8674,0.8616,0.8575,0.8684,0.85972,0.856,0.862
77,,,,0.86492,0.861,0.8677,0.86366,0.8626,0.8655,0.8628,0.8532,0.8659
78,,,,0.86688,0.8637,0.8705,0.86288,0.8599,0.8649,0.86232,0.8577,0.8668
79,,,,0.8664,0.8644,0.868,0.86452,0.8613,0.8664,0.86336,0.8586,0.8664
80,,,,0.86754,0.866,0.8708,0.86344,0.8569,0.8678,0.86008,0.856,0.8653
81,,,,0.86606,0.8638,0.8679,0.8659,0.8625,0.8698,0.863,0.8591,0.8667
82,,,,0.86758,0.8643,0.8711,0.86348,0.8601,0.8667,0.86222,0.8564,0.8654
83,,,,0.86882,0.8671,0.8704,0.86388,0.8558,0.8691,0.86376,0.8584,0.8689
84,,,,0.86888,0.8666,0.8715,0.8653,0.8629,0.8671,0.86494,0.8592,0.8719
85,,,,0.86784,0.8651,0.8704,0.86518,0.8601,0.8687,0.86372,0.8596,0.8702
86,,,,0.86848,0.8652,0.8708,0.86604,0.8627,0.868,0.86464,0.8594,0.8711
87,,,,0.86794,0.865,0.8703,0.86576,0.8639,0.8679,0.8659,0.8581,0.8724
88,,,,0.86916,0.8672,0.8702,0.86734,0.864,0.8717,0.86698,0.8648,0.8697
89,,,,0.8682,0.8651,0.8716,0.86604,0.8617,0.8702,0.86664,0.8628,0.8696
90,,,,0.86972,0.8684,0.8707,0.86562,0.8629,0.868,0.86436,0.8605,0.8672
91,,,,0.87084,0.8689,0.8732,0.86604,0.8619,0.8678,0.86668,0.8609,0.8718
92,,,,0.87092,0.8688,0.8724,0.8661,0.8609,0.8726,0.8637,0.8615,0.8663
93,,,,0.8706,0.8698,0.8722,0.86696,0.8595,0.8702,0.86758,0.8644,0.872
94,,,,0.87034,0.8672,0.8725,0.8674,0.8633,0.8714,0.86624,0.8606,0.87
95,,,,0.87138,0.8708,0.8723,0.86524,0.8632,0.8682,0.86726,0.8647,0.8704
96,,,,0.87226,0.871,0.8737,0.86822,0.8647,0.8708,0.86644,0.863,0.8719
97,,,,0.87242,0.8711,0.874,0.86836,0.8645,0.8709,0.86746,0.8614,0.8719
98,,,,0.872,0.8708,0.8726,0.8677,0.8633,0.8707,0.86598,0.8617,0.8681
99,,,,0.873,0.8711,0.875,0.86638,0.86,0.8701,0.86436,0.8574,0.8701
100,,,,0.8734,0.8723,0.8746,0.86794,0.8658,0.8722,0.86816,0.8604,0.8725
101,,,,,,,0.86812,0.8652,0.872,0.86484,0.8613,0.8701
102,,,,,,,0.86778,0.8639,0.8704,0.8684,0.8644,0.8719
