epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
1,1.564574483037,1.53530289530754,1.59549161791801,1.564574483037,1.53530289530754,1.59549161791801,1.564574483037,1.53530289530754,1.59549161791801,1.564574483037,1.53530289530754,1.59549161791801
2,1.39025163888931,1.32780752778053,1.4667531400919,1.38891918540001,1.33322266638279,1.45305777788162,1.37564852535725,1.32821770012379,1.42089926600456,1.38322285294533,1.33914241790772,1.44161840677261
3,1.2423520553112,1.23587973117828,1.24994149208069,1.24668589055538,1.24037959575653,1.2580041706562,1.24315105855465,1.22189210057259,1.26137482523918,1.24642319917679,1.23887623846531,1.25726581811905
4,1.17487618744373,1.16410509347916,1.18853540420532,1.16825222730637,1.14616841971874,1.19014541804791,1.17641763865948,1.15429403483868,1.19970806837082,1.17065426588058,1.14106134474277,1.20181348919868
5,1.13066879153252,1.11891751587391,1.13840929269791,1.12474969923496,1.10529945492744,1.13844764828682,1.12892522394657,1.11230354905128,1.14070035219193,1.12922005653381,1.1215286552906,1.13971530497074
6,1.08253591537476,1.07347902357578,1.10010161697865,1.08029840320349,1.07196847498417,1.08825261890888,1.0829512745142,1.0611589461565,1.10670007169247,1.07939142912626,1.06707267612219,1.08895760476589
7,1.04780019879341,1.02916202694178,1.0641427770257,1.04938234746456,1.03196888715029,1.0778642937541,1.05211524248123,1.03275692164898,1.09028921723366,1.05422954797745,1.04165259748697,1.09068517386913
8,1.03823850542307,0.998848171532154,1.07711385786533,1.0374563986063,0.999977108836174,1.07532184422016,1.02730834692717,1.00017503798008,1.06480473875999,1.03668655544519,0.997025202214718,1.06650944948196
9,1.01802694678307,0.996987619996071,1.03778857886791,1.01687237799168,1.00045153796673,1.03178736716509,1.01171384483576,0.992515636980534,1.02408985495567,1.01392247766256,1.00219909846783,1.01885159760714
10,0.994703040421009,0.967386902868748,1.01394514292479,0.997570314407349,0.983310252428055,1.01847470700741,0.999658641815186,0.974495193362236,1.01603727638721,0.995519100129604,0.987547534704208,1.0074556350708
11,0.982048416137695,0.963654440641403,1.00759841650724,0.988587684631348,0.969389849901199,1.00458014160395,0.986695526838303,0.975185862183571,0.993961100280285,0.97883290886879,0.965521347522736,0.989443679153919
12,0.977823880314827,0.968585197627544,0.983882384002209,0.9834871545434,0.973838275671005,1.00968201011419,0.991757305562496,0.965616658329964,1.0279651388526,0.974185000360012,0.961972278356552,0.997330681979656
13,0.955509776771069,0.935890053212643,0.967575299739838,0.957051676213741,0.934131962060928,0.987254136800766,0.956712184846401,0.947382079064846,0.973075549304485,0.958795430064201,0.951674763858318,0.970124900341034
14,0.947653053998947,0.936279678344727,0.958468142151833,0.958530817627907,0.94352895617485,0.967883296310902,0.951204162538052,0.926821634173393,0.967276298999786,0.951316131949425,0.941258069872856,0.963246384263039
