epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
1,0.00113491183607645,0.000571376174775651,0.0022156172102162,0.00113491183607645,0.000571376174775651,0.0022156172102162,0.00113491183607645,0.000571376174775651,0.0022156172102162,0.00113491183607645,0.000571376174775651,0.0022156172102162
2,0.000232705248466421,0.000102472920237536,0.000364216769715616,0.000390088641203571,0.000146758414909224,0.000742603890103055,0.000298014203872299,0.0001518372434172,0.000499912170198513,0.000713916169661388,0.00012849786253355,0.00282692872375871
3,0.000203264775670201,3.94613005785989E-05,0.000545136227932138,0.000107094077543479,1.76633061149308E-05,0.00022528535676732,0.000174798690598739,4.94838300255651E-05,0.000414343499869574,0.000208159451146154,2.79883834082284E-05,0.000797811764641665
4,1.92669793136702E-05,1.12573928655972E-05,3.27689748852814E-05,4.58152974185092E-05,1.14874101200257E-05,0.000109238950850947,6.9641587060687E-05,2.21838319400073E-05,0.000149098239186666,7.62821565331251E-05,3.77206592929724E-05,0.000199600944445895
5,4.54303487600782E-05,2.28217140355961E-06,0.000125537509120477,7.85997400119717E-05,4.53631268252745E-06,0.00028866772542339,5.68636404021087E-05,2.39991161284555E-06,0.000209962293107916,4.36712797863947E-05,1.52295951541722E-05,7.07905055605806E-05
6,6.64192004952232E-05,4.0011022311622E-06,0.00020332317823583,1.21601046259912E-05,3.09536906684116E-06,2.40091560499423E-05,6.85886736088529E-05,2.04468775185281E-06,0.00025300376546511,3.69074150209296E-05,6.99763575084944E-06,9.77852560026804E-05
7,3.23739953178877E-05,2.81703035890738E-06,0.0000963416190036999,0.000971708048136103,8.31825250694844E-06,0.00476149070891552,2.49350982035897E-05,2.33663334370249E-06,4.78566183422421E-05,7.62301017630307E-05,1.13093288215775E-05,0.000192790498961889
8,0.000123001789391234,1.19688985478206E-06,0.000587784214682567,0.000123825559361042,2.27592489257707E-05,0.000473844493778112,4.97724470657583E-05,1.02577570639066E-05,0.000134428575923569,4.27387156226663E-05,1.10544128422892E-05,0.000104276623460464
9,1.18730898748254E-05,4.22789236154131E-06,1.97416187196116E-05,0.000153774570348257,5.59377537001637E-06,0.000543005643218445,0.000188644089132595,2.76045739155961E-06,0.00087662646304428,1.97268263188259E-05,4.82025158513958E-06,3.12634710250374E-05
10,2.42101068636202E-05,3.67539959711394E-06,7.82181247510986E-05,2.77089926650357E-05,1.67119251652063E-06,4.83954995615932E-05,1.84784108147558E-05,1.90066284015226E-06,3.8254229669595E-05,0.000348386361902916,6.70712679114634E-06,0.0016808130312711
11,0.000133984443448772,1.35167619201108E-06,0.000543645709209765,8.8150233750639E-06,1.61389297185603E-06,3.47682689607609E-05,7.54853298493193E-06,1.10189468690199E-06,1.59485105465744E-05,2.86108748317323E-05,3.15007673634682E-06,7.77534802788675E-05
12,2.85535161277532E-05,1.18367366752636E-06,6.12289876092594E-05,2.47880002082942E-05,7.52718210605963E-06,6.93341679228373E-05,2.13118593895464E-05,7.46162614480757E-06,3.97425609056275E-05,3.39922983698671E-05,5.44951166148167E-06,9.19543408599566E-05
