epoch,EH50_val_loss,EH50_val_loss_min,EH50_val_loss_max,EH100_val_loss,EH100_val_loss_min,EH100_val_loss_max,EH150_val_loss,EH150_val_loss_min,EH150_val_loss_max,EH200_val_loss,EH200_val_loss_min,EH200_val_loss_max
51,,,,0.85814,0.8557,0.8636,0.85722,0.8532,0.8634,0.85486,0.8479,0.8586
52,,,,0.8583,0.8548,0.861,0.85476,0.8519,0.8576,0.8562,0.8524,0.8612
53,,,,0.85984,0.8553,0.8657,0.85684,0.8525,0.8603,0.85692,0.8517,0.8616
54,,,,0.8595,0.8563,0.8646,0.85738,0.8542,0.861,0.8587,0.8559,0.8641
55,,,,0.8606,0.8559,0.8664,0.8586,0.8559,0.8616,0.85862,0.8549,0.8623
56,,,,0.86104,0.8569,0.8649,0.85854,0.8544,0.8657,0.85984,0.8548,0.8669
57,,,,0.86308,0.8604,0.8674,0.85714,0.8534,0.86,0.85744,0.8544,0.8644
58,,,,0.86072,0.8533,0.872,0.85872,0.8555,0.8641,0.8575,0.852,0.8622
59,,,,0.86054,0.857,0.863,0.85854,0.8551,0.8616,0.85772,0.853,0.8647
60,,,,0.85924,0.8521,0.8662,0.86078,0.8551,0.8659,0.8566,0.8534,0.8606
61,,,,0.86078,0.8558,0.8656,0.86128,0.8578,0.8636,0.85858,0.8561,0.862
62,,,,0.86198,0.8554,0.8693,0.86052,0.8583,0.8675,0.85868,0.8519,0.8654
63,,,,0.86142,0.859,0.8638,0.86076,0.8562,0.865,0.85912,0.8557,0.8646
64,,,,0.862,0.8544,0.8674,0.8593,0.8533,0.8626,0.86012,0.8536,0.87
65,,,,0.8639,0.8592,0.8712,0.86236,0.8602,0.8666,0.8595,0.8563,0.863
66,,,,0.86308,0.8587,0.8681,0.8644,0.8606,0.8693,0.86096,0.8561,0.8641
67,,,,0.86352,0.8587,0.8724,0.8622,0.8555,0.8673,0.85786,0.8529,0.8613
68,,,,0.86338,0.8607,0.8711,0.8617,0.8567,0.8676,0.86234,0.8582,0.8652
69,,,,0.86302,0.8603,0.8694,0.86178,0.8595,0.8671,0.86078,0.8528,0.8672
70,,,,0.86408,0.8605,0.8687,0.86396,0.861,0.8686,0.86254,0.8583,0.8709
71,,,,0.86364,0.8552,0.8702,0.86184,0.8536,0.8666,0.86126,0.8565,0.8654
72,,,,0.86276,0.8557,0.869,0.86284,0.858,0.8668,0.86238,0.8569,0.8677
73,,,,0.86436,0.8583,0.8713,0.86244,0.8586,0.8658,0.8638,0.8539,0.8723
74,,,,0.86484,0.8615,0.8687,0.8649,0.8597,0.8677,0.86266,0.8579,0.8661
75,,,,0.86472,0.8599,0.8702,0.86226,0.8593,0.8643,0.86438,0.8595,0.8687
76,,,,0.86582,0.8635,0.8699,0.86522,0.8627,0.8678,0.8631,0.8546,0.868
77,,,,0.8659,0.86,0.8701,0.86286,0.8568,0.8668,0.86384,0.8585,0.8724
78,,,,0.86704,0.8641,0.8712,0.86396,0.86,0.8679,0.86362,0.8606,0.8696
79,,,,0.86572,0.8621,0.8687,0.8654,0.8608,0.8716,0.86402,0.8596,0.8691
80,,,,0.86702,0.8615,0.873,0.86538,0.8615,0.8688,0.8633,0.8571,0.8696
81,,,,0.86782,0.8627,0.8735,0.86576,0.8634,0.8695,0.8643,0.8603,0.8692
82,,,,0.86668,0.8591,0.8732,0.86536,0.8621,0.8703,0.86484,0.8619,0.8687
83,,,,0.86534,0.8607,0.8684,0.86498,0.8614,0.8708,0.86622,0.8631,0.8734
84,,,,0.8655,0.8631,0.8704,0.86446,0.8572,0.8714,0.86468,0.859,0.8716
85,,,,0.86636,0.8585,0.8721,0.86536,0.8605,0.8702,0.86294,0.8544,0.8718
86,,,,0.8663,0.8619,0.8712,0.8659,0.8627,0.8712,0.86578,0.8614,0.8727
87,,,,0.86876,0.8658,0.8731,0.86674,0.8651,0.8697,0.86544,0.8614,0.8696
88,,,,0.86782,0.8638,0.8718,0.86526,0.8621,0.8678,0.86642,0.858,0.8709
89,,,,0.8664,0.8627,0.87,0.86636,0.863,0.8707,0.86512,0.8622,0.868
90,,,,0.8693,0.8648,0.873,0.86426,0.8598,0.8701,0.86518,0.8601,0.8716
91,,,,0.86764,0.8638,0.8733,0.86612,0.8621,0.871,0.86468,0.8587,0.8679
92,,,,0.86804,0.8617,0.872,0.8669,0.863,0.8717,0.86548,0.8602,0.8694
93,,,,0.8678,0.8649,0.8714,0.8662,0.8615,0.8736,0.86632,0.8619,0.8718
94,,,,0.86866,0.8657,0.8725,0.868,0.8635,0.8719,0.86544,0.8612,0.8728
95,,,,0.86966,0.8671,0.8729,0.8676,0.8633,0.8719,0.86568,0.8613,0.8718
96,,,,0.87024,0.8667,0.8744,0.86622,0.8631,0.8692,0.86704,0.8631,0.8707
97,,,,0.8697,0.8661,0.8752,0.86698,0.8646,0.87,0.8667,0.8627,0.8711
98,,,,0.87042,0.8645,0.8759,0.86824,0.8633,0.8724,0.86756,0.8622,0.8732
99,,,,0.87002,0.8651,0.8746,0.86804,0.8657,0.872,0.86746,0.8622,0.8723
100,,,,0.86862,0.8644,0.8723,0.86828,0.863,0.8734,0.86708,0.8627,0.8721
101,,,,,,,0.86868,0.8659,0.8735,0.86768,0.8621,0.8723
102,,,,,,,0.86824,0.8617,0.8729,0.86754,0.863,0.8724
103,,,,,,,0.86854,0.8648,0.8712,0.8658,0.8632,0.8676
104,,,,,,,0.87024,0.8657,0.8744,0.86754,0.8613,0.8742
105,,,,,,,0.87116,0.8673,0.8741,0.86912,0.8644,0.8746
106,,,,,,,0.8701,0.8647,0.8781,0.86796,0.8654,0.8738
107,,,,,,,0.87024,0.8676,0.8736,0.86892,0.8657,0.8751
108,,,,,,,0.86822,0.864,0.8712,0.86862,0.8637,0.8748
109,,,,,,,0.87122,0.8677,0.8749,0.8662,0.8623,0.8718
110,,,,,,,0.8718,0.8665,0.8761,0.86878,0.8648,0.876
111,,,,,,,0.86884,0.8637,0.8723,0.86982,0.8669,0.8738
112,,,,,,,0.86934,0.8656,0.873,0.86918,0.8652,0.873
113,,,,,,,0.87066,0.866,0.8754,0.86686,0.8615,0.8726
114,,,,,,,0.86906,0.8628,0.8726,0.86862,0.8643,0.8745
115,,,,,,,0.8703,0.8655,0.8735,0.86872,0.8637,0.8743
