epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
1,0.00262752053327858,0.00145175666548312,0.00365985472453758,0.00262752053327858,0.00145175666548312,0.00365985472453758,0.00262752053327858,0.00145175666548312,0.00365985472453758,0.00262752053327858,0.00145175666548312,0.00365985472453758
2,0.00149848584434949,0.00060315070732031,0.0025469841551967,0.00149711610807572,0.000600607192609459,0.00254678952042013,0.00149685961339856,0.000600125650817063,0.00254675266332924,0.00149676910194103,0.000599951803451404,0.00254674117313698
3,0.00117981122326455,0.00026739262175397,0.00227876449353062,0.00119454253319418,0.000340565611259081,0.0022778108890634,0.00119766872492619,0.000355998359736986,0.00227762860013172,0.00119860674953088,0.000360610637289938,0.00227756415260956
4,0.000741127132205293,0.000484792112547439,0.00105651010235306,0.00070242534915451,0.000485650742484722,0.00103613465616945,0.000719948716287036,0.000485817877051886,0.00103243500634562,0.000728669707314111,0.000485875747108366,0.00103113487421069
5,0.000465250237466535,0.000162218449258944,0.000621841178508475,0.000475974177825265,0.000248834809463006,0.000635873613646254,0.000495050925528631,0.000340612213767599,0.000646872640936635,0.000498231000383385,0.00035418116603978,0.000651411467697471
6,0.000394997024050099,0.000132262297483976,0.00056805654312484,0.000417900174725219,0.000134861127662589,0.000678719932329841,0.000398835923770093,0.000133752410692978,0.000579391437349841,0.000417269627942005,0.000141059952147771,0.000663378683384508
7,0.0004574727731233,0.000128632001724327,0.000931254046736285,0.000521509427853744,0.000132841059166822,0.00110837870161049,0.00053964922146406,0.000133727936918149,0.00132776759564877,0.000541749779149541,0.000136340348035446,0.0013382799224928
8,0.000642923549457919,8.74902405485045E-05,0.00214125625789166,0.000347807580619701,0.000130995878498652,0.000583796197315678,0.000265710505336756,0.000120873103514896,0.000443764535884839,0.00026814722448762,0.000121152313658968,0.000465452976641245
9,0.000406912032158289,6.22177345576347E-05,0.0013897493481636,0.000194873421787634,8.73757071531145E-05,0.000296393529424677,0.000660274326000945,6.11249528446933E-05,0.0022835771436803,0.000207313567298115,0.000137390958116157,0.000290168530773372
10,0.000155711003353645,5.37796810021973E-05,0.00028525592351798,0.000158785731182434,0.000102910022178548,0.000203196209622547,0.000190443135797977,0.000100504149668268,0.000365750669152476,0.000193716911380761,0.000125606705842074,0.000270060034381459
