epoch,P50_val_loss,P50_val_loss_min,P50_val_loss_max,P100_val_loss,P100_val_loss_min,P100_val_loss_max,P150_val_loss,P150_val_loss_min,P150_val_loss_max,P200_val_loss,P200_val_loss_min,P200_val_loss_max
1,0.0122091869078577,0.00739400554448366,0.0205369739793241,0.0122091869078577,0.00739400554448366,0.0205369739793241,0.0122091869078577,0.00739400554448366,0.0205369739793241,0.0122091869078577,0.00739400554448366,0.0205369739793241
2,0.00399799752514809,0.00321671434212476,0.0050577251939103,0.00398477370850742,0.00321095348335803,0.00505540693411604,0.00397664250573143,0.00318737592315301,0.0050511026289314,0.00397362486924976,0.00318645554361865,0.00505005834857002
3,0.00181480531813577,0.00123344491585158,0.00237655480741523,0.00179240165103693,0.00123317074903753,0.00237418093602173,0.00179216837044805,0.0012382723740302,0.00238059744588099,0.00178805069182999,0.0012374397367239,0.00238071543863043
4,0.00108034962438978,0.000882508276845329,0.00134470579214394,0.00107573095185217,0.000879384623840451,0.00134654519497417,0.00107560578908306,0.000886420771712437,0.00134827204165049,0.0010709771537222,0.000886955091846175,0.00134060748969205
5,0.000916668058489449,0.000695334555348381,0.00117552540323231,0.000907896850258112,0.000703375675948337,0.00115527766465675,0.000912305756355636,0.000722908577881754,0.00114900601329282,0.000913286860450171,0.000716830909368582,0.0011305918393191
6,0.000749906989512965,0.000602035957854241,0.00104476643609814,0.000741775092610624,0.000592135589977261,0.00100512711214833,0.000732777677767444,0.000572757572808769,0.000984000868629664,0.000731824224349111,0.000573639231151901,0.000982447614660487
7,0.000568999947281554,0.00040871075616451,0.000844588247127831,0.000555361726437695,0.000337120991025586,0.000859088203287683,0.000556914175685961,0.000342504328000359,0.000859398042666726,0.000554547118372284,0.000347556349879596,0.000855589858838357
8,0.000480203159968369,0.000321515796531457,0.000757136833271943,0.000472162923542783,0.000259900846867822,0.000750201175105758,0.000465625321812695,0.000259338337491499,0.000747157289879397,0.000460040346224559,0.000249513240851229,0.000748901293263771
9,0.000377134741138434,0.000227640061348211,0.000635068184055854,0.000444364034628961,0.000246395221620332,0.00065422510378994,0.000443662012985442,0.000267925385560375,0.000630363625532482,0.000448553560854634,0.000281797545176232,0.000628045202756766
10,0.000355593688291265,0.000204916809161659,0.000689981051255018,0.000327514944801806,0.000191104870464187,0.000606112985406071,0.000321180032915436,0.000183863133133855,0.000570934527786449,0.000331013031682232,0.000188437524047913,0.000615714656305499
11,0.000305024977278663,0.000164409462013282,0.000492269443930127,0.000334832017178996,0.000161623162784963,0.000606134723057039,0.000325224824919133,0.000188719855941599,0.000606157245056238,0.000322577877814183,0.000183383086550748,0.000577159944805317
12,0.000300058859720593,0.000154411104449537,0.000491388639784418,0.000263812458433677,0.000161739503528224,0.000366163880971726,0.000260931273223832,0.000161373181617819,0.000366440495417919,0.00026098904243554,0.000164245581254363,0.000350135522603523
13,0.000215421914981562,0.000124190304995864,0.000282099391915835,0.000193811176359304,0.000125703488083673,0.000275037995743332,0.000196118039239082,0.000122106112030451,0.000286126099672401,0.000202733266123687,0.000119084349717014,0.000296944267756771
14,0.000198701572298887,0.000121781370398821,0.000267081600031816,0.000224312942809775,0.000116811173938913,0.000376456708181649,0.000220078569109319,0.000119627329331706,0.000358743050310295,0.000218651702598436,0.000116868101031287,0.000373788733850233
15,0.000172840610975982,0.000111700474371901,0.000251122393819969,0.000196018124988768,0.000110272901292774,0.000381470799038652,0.000203482674551196,0.000100988055783091,0.000419843567942735,0.000162160458130529,9.95114212855697E-05,0.000219898967043264
16,0.000180983820173424,0.00012209552587592,0.000261196456267498,0.000175408242939739,9.52254078583792E-05,0.000296461547259241,0.000207009016594384,0.000103586937257205,0.00034759963164106,0.000212560351064894,8.97952966624871E-05,0.0003464979439741
17,0.000147505132263177,0.0000889973835001001,0.000215152103919536,0.000181464966153726,0.000145145278293057,0.000230393198580714,0.00016000733266992,9.29127036215505E-05,0.000225548075832194,0.000175679864842095,9.73045811406337E-05,0.000227169794379734
18,0.000145798157755053,8.87639733264223E-05,0.000177264492231188,0.000169790567451855,0.000103921707341215,0.000305756593297701,0.000157111988592078,8.47462943056598E-05,0.000253413405880565,0.00012086841139535,8.41216733533656E-05,0.000162191965137026
19,0.000181200464285212,7.85452899435768E-05,0.00040019302687142,0.000173645165632479,0.000100828847644152,0.00041627966274973,0.000195678679010598,9.69856122537749E-05,0.000457091744465288,0.000133287822391139,8.59263283928158E-05,0.000183129644574365
20,0.000133131133698043,8.99727914656978E-05,0.000171552277606679,0.000161170479259454,9.96191149170045E-05,0.000264678968233056,0.000159504351904616,0.000106958804099122,0.000225477265485097,0.000159191854545497,7.38093833206222E-05,0.000230407715571346
21,0.000124303934862837,8.85164114151848E-05,0.000162602191267069,0.000131016662235197,8.96230261787423E-05,0.000214567228977103,0.000163037710517528,0.000105186903238064,0.000301071548892651,0.000154471519781509,0.000126821680532885,0.000220896768587409
22,0.000101534703644575,6.26086979536922E-05,0.000139634102015407,0.000117234167046263,8.32997353427345E-05,0.000148372114199447,0.000139279160866863,7.38111531973118E-05,0.000263406699377811,0.000148648250979022,9.33407151023857E-05,0.000281108284252696
23,0.000118504435595241,6.27442756012897E-05,0.000230387518240605,0.000180167357175378,8.11346417322056E-05,0.000444819775293581,0.000174583996740694,7.10346646883409E-05,0.000404138398880605,0.000123547395160131,6.01204119448084E-05,0.00023073674965417
24,9.28371681584395E-05,6.35670208794181E-05,0.000115230735900695,0.000149696096596017,8.54101634104154E-05,0.000261698474059813,0.000124506529573409,8.81422989550629E-05,0.000208122098410968,0.000124756709337817,7.10072687070351E-05,0.000161509423196549
25,8.64752033521654E-05,5.12819700816181E-05,0.000125889482660568,0.000107032520645589,6.1270911101019E-05,0.000223283175000688,0.000136473807870061,5.22558717420907E-05,0.000309588230447844,0.000118845268698351,5.51874860320822E-05,0.000296130630886182
26,8.23480984399794E-05,5.36602032298106E-05,0.000113300420707674,9.17089357426448E-05,5.04508364429057E-05,0.000171810486790491,7.72345906989358E-05,5.09938033246726E-05,0.000102080369833857,9.77122021868126E-05,6.82366691762582E-05,0.000117726819371455
27,8.07967072250904E-05,4.89170988657861E-05,0.000112524988071527,0.000113176521281275,4.51081811661425E-05,0.000167441645317012,9.65645716860308E-05,6.53623501420952E-05,0.000117787138879066,8.43251487094676E-05,5.43416119398899E-05,0.000111697347165318
28,0.000106708013372554,7.12423792720074E-05,0.000162552237452473,8.47938455990516E-05,4.86991602883791E-05,0.00016331106889993,0.000101929757511243,6.02988315222319E-05,0.000170997219538549,0.000101262715434132,5.81139605856151E-05,0.000164443782705348
29,7.22023223170254E-05,4.12344973483414E-05,9.69714794337051E-05,7.40983952709939E-05,5.2759481513931E-05,9.4490757692256E-05,0.000127698657015571,5.03952962390031E-05,0.000368621879897546,0.000119425919547211,7.06158747561858E-05,0.000208819242834579
30,7.14677020005183E-05,5.00349855428794E-05,0.000112329487092211,8.67551588089555E-05,5.05606441947748E-05,0.000130538630401134,0.00036211389275195,4.06610280151654E-05,0.00139454041491263,9.03879176803457E-05,4.08788198001275E-05,0.000142242629954126
31,8.24097502845689E-05,4.37052132838289E-05,0.000182760810275795,9.49889510957291E-05,4.92352584842593E-05,0.000206900372722885,6.87771538468951E-05,4.09635130381503E-05,9.5936512661865E-05,9.01967139543558E-05,3.97178974708368E-05,0.000185254799725954
32,5.50807155923394E-05,3.7523708306253E-05,7.43441854865523E-05,9.18916331647779E-05,5.77164631977212E-05,0.000114210257015657,9.01220936611935E-05,4.53653946351551E-05,0.000146525593663682,9.44937478743668E-05,4.0976743457577E-05,0.000175691322510829
33,5.53459841285076E-05,3.32885149873619E-05,8.49246713187313E-05,0.0000738262939376,3.76595374291355E-05,0.000139310693339212,8.62474166024185E-05,4.34244308962661E-05,0.000177167871879647,7.8950241804705E-05,4.31798611316481E-05,0.000151810141687747
34,5.27598486587522E-05,0.0000342771767464001,7.94904621216119E-05,5.94275038565684E-05,4.28850580647122E-05,9.63845141086495E-05,6.48228045611177E-05,3.78199529222911E-05,9.02480351214763E-05,8.52336317257141E-05,5.60367559955921E-05,0.000128263589795097
35,6.7175408021285E-05,3.25308482388209E-05,9.97959465166787E-05,8.5781224333914E-05,5.43757711056969E-05,0.000140728622500319,5.28154370476841E-05,3.45708616805496E-05,7.59181399189401E-05,6.50909685100487E-05,3.14564583277388E-05,9.3522392489831E-05
36,5.84493790847773E-05,3.5075481810054E-05,8.0732687638374E-05,0.000106806491203315,0.0000674666973282001,0.000186367006244836,8.33222163419123E-05,5.6879780277086E-05,0.000138262072869111,8.14682932104915E-05,3.42129129421664E-05,0.00015945051345625
37,4.53123517036147E-05,2.8099269093218E-05,6.66766516587813E-05,6.05043056020804E-05,3.59217391633138E-05,0.000106276679071016,5.10592687714961E-05,3.40276998031186E-05,7.64311063903733E-05,7.02350995561574E-05,4.5889336252003E-05,0.000103862745527294
38,5.11690908751916E-05,3.60314814315643E-05,8.22641788545298E-05,5.93373607625836E-05,3.26136190778925E-05,0.000111604822450317,6.66415282103117E-05,4.91408654852421E-05,0.000113062009768328,9.66319585131714E-05,4.91355865960941E-05,0.000199455898837186
39,5.19379497382033E-05,2.53376359978574E-05,0.000103710226539988,0.000156157121855358,4.54147755590384E-05,0.0003678860492073,0.000166928230246413,4.58751232145005E-05,0.000520478023099713,0.000203475215421349,4.84292922919849E-05,0.00046762830024818
40,4.72308666576282E-05,2.62014420513879E-05,6.34723257462611E-05,7.57768398761982E-05,3.24774614455237E-05,0.00020909121594741,7.69784068870649E-05,3.05613671116589E-05,0.000168062232114607,6.00109485094436E-05,3.17837082548067E-05,0.000121497845975682
41,4.18232001447905E-05,2.39767465700425E-05,5.90471570831141E-05,7.18098447214288E-05,3.8513721756317E-05,0.000185515030170791,5.28646370730712E-05,4.46152173026349E-05,6.00040197241469E-05,0.000134431927763217,5.16610640261206E-05,0.000235945441090735
42,3.67792719589488E-05,2.45719870690664E-05,5.03108041812084E-05,5.58589080537786E-05,2.90925664558017E-05,0.000103842777389218,5.50798200129066E-05,3.30247701640474E-05,9.00203336641425E-05,7.67848851683084E-05,3.95921977542457E-05,0.000128630925973994
43,3.58816958123498E-05,2.27770487526868E-05,4.74067897812347E-05,4.22980182338506E-05,2.89866392449767E-05,6.50186508210027E-05,5.2378189539013E-05,3.68431537935976E-05,8.66383496031631E-05,6.67015060207632E-05,3.35831286975008E-05,0.000128652216881164
44,3.46091835763218E-05,2.36395818774326E-05,4.87113009512541E-05,4.71657763591793E-05,3.77671552996617E-05,5.80761201490532E-05,8.38983598441701E-05,3.80902694814722E-05,0.000212624613777734,5.98166980125825E-05,2.52257551437651E-05,0.000102774803235661
45,3.46728596014145E-05,2.0937688259437E-05,4.62848283859785E-05,6.56371552395285E-05,3.02582801850804E-05,0.000102054823219078,0.000186204755445942,4.39547577116173E-05,0.000635073939338326,0.000119795372738736,2.83508891698148E-05,0.000385768752312288
46,3.23517782999261E-05,1.97726181795588E-05,4.37604384387669E-05,3.74107930110768E-05,2.73197413662274E-05,0.0000483687623272999,6.97239784221893E-05,2.53912310199667E-05,0.000181844819599064,0.000102456816530321,4.95523812787724E-05,0.000152432872710051
47,3.06358135276241E-05,2.03693451567233E-05,4.07260380598018E-05,5.86235588343698E-05,2.59569745139743E-05,0.000147827541513834,5.08276327309432E-05,2.25872452574549E-05,7.99928362539504E-05,3.61921692820033E-05,2.61701601630193E-05,4.59872617284418E-05
48,3.00656554918532E-05,1.8417649107505E-05,3.90576308745949E-05,6.87207656483224E-05,2.65414301793498E-05,0.00017642371240072,3.06004234516877E-05,2.34158145758556E-05,3.68501080629358E-05,6.92571704894363E-05,2.44645912971464E-05,0.000209587784775067
49,2.93450605659018E-05,1.90416654277215E-05,3.99006467887375E-05,4.82679063861724E-05,3.21954074024688E-05,9.01153925951803E-05,8.23021849464567E-05,3.38624487085326E-05,0.000226596289576264,8.58428756691865E-05,3.57569076186337E-05,0.000238048652681755
50,2.80817463135463E-05,1.77890183749696E-05,3.73978214156523E-05,5.34149501436332E-05,3.29607038111135E-05,8.74813224072568E-05,7.79533605054894E-05,3.28162901496398E-05,0.000134889290711726,6.38981966221763E-05,3.01863724416762E-05,0.000136986498546321
51,,,,6.97506916731072E-05,2.68332045379793E-05,0.000146384775143815,6.61340458646009E-05,2.53808480010775E-05,0.000133912777164369,0.000108798839391966,3.54867186615593E-05,0.000359192049654666
52,,,,4.89353952707461E-05,1.71229416537244E-05,6.89614982547937E-05,4.5984470161784E-05,2.40853211835201E-05,0.000123012372932863,8.38992752323975E-05,4.34673980635125E-05,0.000183935400855262
53,,,,6.4235634454235E-05,2.10496718864306E-05,0.000136355623908457,6.45423292280611E-05,2.15776011373237E-05,0.000141415710822912,0.000186963740979991,2.69315443802043E-05,0.00071773256349843
54,,,,5.3384140601338E-05,2.22026796564023E-05,0.000115431767335394,7.45376958002453E-05,3.30675327859353E-05,0.000162045573961223,4.07638873184624E-05,3.07897115817468E-05,4.95678867082461E-05
55,,,,7.0707435697841E-05,2.51412588113453E-05,0.000185125489952043,0.000122281698568258,3.33025554937194E-05,0.000252231099148048,7.32656334002968E-05,3.17373779580521E-05,0.000170567473105621
56,,,,5.03246157495596E-05,3.10279860968876E-05,0.000100983690208523,0.000257860829697165,4.38315164501546E-05,0.000836085435003042,0.000235296140217542,2.50480869908642E-05,0.000577483745291829
57,,,,4.24179521178303E-05,2.95201109111076E-05,7.07308343407931E-05,4.22916925163008E-05,2.67008127593726E-05,6.91466511852923E-05,5.18519884826674E-05,2.20771287786192E-05,0.000116615799925057
58,,,,3.5451353796816E-05,2.150793261535E-05,6.7897707776865E-05,7.03375652392424E-05,1.74525233887834E-05,0.000190120261322591,4.78501080033311E-05,1.94689520867541E-05,0.000118360191117972
59,,,,6.68478515581228E-05,1.50582922287867E-05,0.000151918219489744,6.40199318240775E-05,1.61208517511113E-05,0.000158639141591266,5.93627755370107E-05,2.54281791967514E-05,0.000106540673732525
60,,,,5.70716128095228E-05,2.27419118346006E-05,0.00011119358423457,5.45003142815403E-05,1.49101592796796E-05,0.000113195583980996,2.97187816431688E-05,2.32226873777108E-05,3.59098589797213E-05
61,,,,0.000114211649379286,3.60145275408286E-05,0.000355208679684438,9.51916590383917E-05,1.81879672709329E-05,0.00026631197106326,6.36766567549785E-05,3.85006938813604E-05,0.000111031513370108
62,,,,4.62892442192242E-05,3.31335192640836E-05,7.7052377309883E-05,5.76303125126287E-05,4.01061349293741E-05,9.81266632152256E-05,0.000126469696369895,3.88355044378841E-05,0.000351617114210967
63,,,,5.77433730722987E-05,2.17478132981341E-05,0.000173640854336554,7.32210734440741E-05,2.10141399747954E-05,0.000235488849284593,0.000146842913254659,2.92844390969549E-05,0.000275616743601859
64,,,,2.27299721245799E-05,1.45360384976811E-05,2.7195562961424E-05,6.67849213550653E-05,2.04852779916109E-05,0.000218469413084677,5.29839520459063E-05,2.6125245676667E-05,0.000133123522755341
65,,,,2.79973722808791E-05,1.5735906390546E-05,4.81295038298413E-05,5.94656098473934E-05,4.10380558605539E-05,6.67744016027427E-05,3.67736345287994E-05,3.19973229125026E-05,4.39585145613819E-05
66,,,,7.81459586960409E-05,1.31005976527376E-05,0.000221029406384332,6.18457761629543E-05,3.08796938043088E-05,0.000131712468282785,0.00011622094669292,1.90463719263789E-05,0.000179702060995623
67,,,,3.30286287226045E-05,1.75523241978226E-05,5.70541822526138E-05,4.35876109077071E-05,2.08137637855543E-05,6.70204559355625E-05,9.51325421192451E-05,5.45084605619195E-05,0.000240246432076674
68,,,,3.90653492922866E-05,1.74979259099928E-05,5.96250834860257E-05,4.0785135988699E-05,1.64003273312119E-05,6.56185424304567E-05,4.36391650691803E-05,1.49811342907924E-05,8.16185176518047E-05
69,,,,6.87032739006099E-05,1.53815668454627E-05,0.000261820539890323,8.21816304414824E-05,2.08621170713741E-05,0.000262720692990115,9.25199330777105E-05,2.77838756119309E-05,0.000260912681551417
70,,,,3.40752928877919E-05,1.19631682991894E-05,6.34792135315365E-05,5.21915043282206E-05,2.01375980395824E-05,0.000120797138879425,6.62541021756624E-05,2.24516965772636E-05,0.000144396047471673
71,,,,0.000101240676804082,1.57697172198823E-05,0.000369467040582094,2.87371270223957E-05,1.68993602983392E-05,4.09715989007964E-05,0.000105919165871455,1.38386028083914E-05,0.000448577814677265
72,,,,3.55561184642283E-05,1.77970860931964E-05,6.39944408248994E-05,0.000115856613174401,3.34941819346568E-05,0.000221801381121622,0.000112664379457783,2.35097247696103E-05,0.000313140899379505
73,,,,2.58525000026566E-05,1.50831690461928E-05,5.39644532182137E-05,2.90772718562948E-05,2.3126990572564E-05,3.93032665670035E-05,4.20635134014447E-05,2.3463312027161E-05,7.41761554309051E-05
74,,,,2.69059159563767E-05,1.49183159464883E-05,4.99990821481333E-05,4.68179762719956E-05,1.99258414795622E-05,0.000123113412701059,0.000104973176094063,2.41910792283306E-05,0.000300946448987816
75,,,,3.2944639588095E-05,1.50538973230141E-05,8.06983953225426E-05,3.75876695807165E-05,1.45188306078126E-05,6.50793401291594E-05,4.13735580332286E-05,1.63675701514876E-05,6.6793885162042E-05
76,,,,5.15713010463514E-05,1.76673432179086E-05,9.0195014490746E-05,3.56585077133786E-05,1.48173281104391E-05,0.000100107137768646,2.65901126203971E-05,1.41865012210474E-05,3.980564788435E-05
77,,,,3.61097198401694E-05,1.81126064489945E-05,7.85914879088523E-05,2.57657559814106E-05,1.73887438904785E-05,4.72025296403444E-05,0.00026061743034461,1.36993232672467E-05,0.00111493597505614
78,,,,2.20651304971398E-05,1.4150854849504E-05,3.63890198968875E-05,3.67421907867538E-05,1.16109451482771E-05,8.15789087937446E-05,4.35773699700803E-05,2.04271841994341E-05,7.5598577495839E-05
