Step,p50,p100,eh50,eh100
46,4.86137641291862E-05,0.00103356345514385,6.26974638544198E-05,5.46561485498387E-05
47,4.84517903532833E-05,0.00107146820982052,6.26258041302208E-05,5.44248573078221E-05
48,4.83113507334565E-05,0.00118780693459485,6.25378024415113E-05,5.5258833026528E-05
49,4.82614006477888E-05,0.00109228931927646,6.25080357167462E-05,5.43866108637303E-05
50,,0.000997767174139881,,5.51925754098193E-05
51,,0.000953500339473976,,5.40323778841412E-05
52,,0.000927537983498041,,5.40109777102771E-05
53,,0.00092673209109762,,5.3929575260554E-05
54,,0.000894488588369313,,5.39359600497846E-05
55,,0.000999749815887299,,5.37957429878588E-05
56,,0.000949271839945141,,5.37327441270463E-05
57,,0.000943728633735646,,5.3870704914516E-05
58,,0.00089318350704616,,5.35333267544047E-05
59,,0.000838054272935551,,5.34252418219694E-05
60,,0.000846177511630231,,5.3304861567085E-05
61,,0.00164572365931235,,5.3328390004026E-05
62,,0.000820458696362039,,5.32512184599909E-05
63,,0.00100038327797847,,5.3263908248482E-05
64,,0.000939209934022074,,5.31123238579312E-05
65,,0.000798369878998528,,5.30636259281891E-05
66,,0.000827766276149759,,5.2921544001947E-05
67,,0.000885331645706629,,5.29328549964703E-05
68,,0.000763832371162607,,5.28386954647431E-05
69,,0.000814314832771288,,5.27816089652333E-05
70,,0.000855677701699733,,5.2740725222975E-05
71,,0.000739197355508168,,5.26854726740567E-05
72,,0.000749137292550586,,5.25771240972972E-05
73,,0.000756148544817279,,5.24815214703267E-05
74,,0.000738739393943888,,5.25682261741167E-05
75,,0.000736838258742409,,5.24098682762997E-05
76,,0.000720320140007971,,5.22846660987852E-05
77,,0.000820795160911985,,5.22362420360878E-05
78,,0.000722984722244746,,5.22495709628856E-05
79,,0.000729605343760795,,5.20557895197271E-05
80,,0.000701497301924974,,5.20212112678564E-05
81,,0.000705350544587873,,5.19498208996083E-05
82,,0.000714925605157077,,5.18581416054076E-05
83,,0.000695234354459444,,5.17622890674829E-05
84,,0.000699526061728193,,5.17410799966456E-05
85,,0.000701222657860399,,5.16591278937995E-05
86,,0.000692450051315063,,5.16269100535283E-05
87,,0.000689389065028081,,5.14874078999128E-05
88,,0.000685876883578658,,5.14203074817488E-05
89,,0.000686150391884439,,5.13246204536699E-05
90,,0.000683922950138367,,5.12684917703154E-05
91,,0.000680799396941438,,5.12197607167764E-05
92,,0.000681101779584878,,5.11334572092892E-05
93,,0.00067930045312778,,5.10828476126335E-05
94,,0.000678216943349526,,5.1030698696195E-05
95,,0.000678920270947856,,5.09699491431093E-05
96,,0.000677261449757225,,5.09206138667651E-05
97,,0.000676545728927067,,5.08841416012729E-05
98,,0.000676583802080586,,5.08624446229078E-05
99,,0.00067622176804889,,5.08145089315803E-05
